CINC	CREN	CMAL	CSCH	JG5-1
	Cre03.g162950		g16823	
	Cre03.g163000		g16822	
	Cre03.g163050		g16821	
	Cre03.g163150		g16820	
	Cre03.g163550		g16837	
	Cre03.g163950		g16844	
	Cre03.g164000		g16845	
	Cre03.g164050		g16846	
	Cre03.g164101		g16847	
	Cre03.g164150		g16848	
	Cre03.g164200		g16849	
	Cre03.g164300		g16851	
	Cre03.g164350		g16852	
	Cre03.g164550		g16856	
	Cre03.g164600		g16858	
	Cre03.g164700		g16860	
	Cre03.g164850		g1278	
	Cre03.g164900		g16861	
	Cre03.g165000		g16863	
	Cre03.g165100		g16865	
	Cre03.g165350		g16870	
	Cre03.g165450		g16871	
	Cre03.g165650		g8593	
	Cre03.g165700		g8594	
	Cre03.g165750		g8595	
	Cre03.g165900		g8598	
	Cre03.g166050		g8603	
	Cre03.g166150		g8605	
	Cre03.g166201		g8606	
	Cre03.g166250		g8607	
	Cre03.g166450		g8609	
	Cre03.g166550		g8611	
	Cre03.g166650		g8613	
	Cre03.g166750		g8618	
	Cre03.g166950		g8622	
	Cre03.g167000		g8623	
	Cre03.g167050		g8624	
	Cre03.g167051		g8625	
	Cre03.g167150		g8627	
	Cre03.g167250		g8629	
	Cre03.g167400		g8631	
	Cre03.g167450		g8632	
	Cre03.g167500		g8633	
	Cre03.g167550		g8634	
	Cre03.g167600		g8635	
	Cre03.g167924		g8638	
	Cre03.g168000		g8639	
	Cre03.g168150		g8642	
	Cre03.g168200		g8643	
	Cre03.g168300		g1568	
	Cre03.g168350		g8647	
	Cre03.g168450		g8649	
	Cre03.g168550		g8651	
	Cre03.g168700		g8657	
	Cre03.g168750		g8659	
	Cre03.g168800		g8662	
	Cre03.g168850		g8663	
	Cre03.g168950		g8666	
	Cre03.g169000		g8667	
	Cre03.g169200		g8671	
	Cre03.g169350		g8674	
	Cre03.g169400		g8675	
	Cre03.g169450		g8676	
	Cre03.g169500		g8677	
	Cre03.g169550		g8678	
	Cre03.g169700		g8680	
	Cre03.g169750		g8681	
	Cre03.g169800		g8682	
	Cre03.g169850		g8683	
	Cre03.g169900		g8684	
	Cre03.g170001		g8686	
	Cre03.g170050		g8687	
	Cre03.g170150		g8689	
	Cre03.g170200		g15971	
	Cre03.g170250		g15972	
	Cre03.g170350		g15974	
	Cre03.g170450		g15978	
	Cre03.g170500		g15979	
	Cre03.g170550		g15980	
	Cre03.g170650		g15982	
	Cre03.g170750		g15983	
	Cre03.g170800		g15984	
	Cre03.g170900		g15986	
	Cre03.g171050		g15989	
	Cre03.g171100		g15992	
	Cre03.g171300		g15996	
	Cre03.g171350		g15997	
	Cre03.g171461		g15999	
	Cre03.g171500		g16000	
	Cre03.g171550		g16001	
	Cre03.g171600		g16002	
	Cre03.g171700		g16004	
	Cre03.g171800		g16006	
	Cre03.g171900		g16008	
	Cre03.g171950		g16010	
	Cre03.g172000		g16011	
	Cre03.g172050		g16012	
	Cre03.g172100		g16013	
	Cre03.g172200		g16015	
	Cre03.g172300		g16017	
	Cre03.g172350		g16018	
	Cre03.g172500		g16020	
	Cre03.g172550		g16021	
	Cre03.g172650		g16023	
	Cre03.g172850		g16026	
	Cre03.g172900		g16027	
	Cre03.g172950		g16028	
	Cre03.g173350		g16035	
	Cre03.g173400		g16036	
	Cre03.g173450		g16039	
	Cre03.g173550		g16041	
	Cre03.g173700		g16043	
	Cre03.g173800		g16045	
	Cre03.g173900		g16049	
	Cre03.g173950		g16050	
	Cre03.g174000		g16051	
	Cre03.g174150		g16057	
	Cre03.g174250		g16059	
	Cre03.g174350		g16061	
	Cre03.g174400		g16062	
	Cre03.g174476		g16064	
	Cre03.g174600		g16066	
	Cre03.g174700		g16068	
	Cre03.g174750		g16069	
	Cre03.g174800		g16070	
	Cre03.g174850		g16071	
	Cre03.g174900		g16072	
	Cre03.g175200		g16075	
	Cre03.g175250		g16076	
	Cre03.g175351		g16078	
	Cre03.g175400		g16079	
	Cre03.g175500		g16081	
	Cre03.g175650		g16084	
	Cre03.g175750		g16086	
	Cre03.g176150		g16096	
	Cre03.g176250		g16098	
	Cre03.g176350		g16101	
	Cre03.g176500		g16103	
	Cre03.g176550		g16104	
	Cre03.g176750		g16108	
	Cre03.g176833		g16110	
	Cre03.g177100		g16117	
	Cre03.g177250		g16119	
	Cre03.g177300		g16120	
	Cre03.g177350		g16121	
	Cre03.g177450		g16124	
	Cre03.g177500		g16125	
	Cre03.g177550		g16126	
	Cre03.g177600		g16127	
	Cre03.g177750		g16130	
	Cre03.g177800		g16131	
	Cre03.g177900		g16134	
	Cre03.g178050		g16137	
	Cre03.g178100		g16138	
	Cre03.g178150		g16139	
	Cre03.g178250		g16141	
	Cre03.g178300		g16143	
	Cre03.g178350		g16144	
	Cre03.g178400		g16145	
	Cre03.g178450		g16146	
	Cre03.g178500		g16147	
	Cre03.g178550		g16148	
	Cre03.g178600		g16149	
	Cre03.g178650		g16150	
	Cre03.g178750		g16152	
	Cre03.g179050		g16159	
	Cre03.g179100		g16160	
	Cre03.g179150		g16161	
	Cre03.g179350		g16166	
	Cre03.g179400		g16167	
	Cre03.g179450		g16168	
	Cre03.g179500		g16169	
	Cre03.g179550		g16171	
	Cre03.g179800		g16175	
	Cre03.g179941		g16181	
	Cre03.g180000		g3087	
	Cre03.g180151		g3083	
	Cre03.g180200		g3082	
	Cre03.g180250		g3081	
	Cre03.g180300		g3080	
	Cre03.g180350		g3079	
	Cre03.g180450		g3078	
	Cre03.g180550		g3077	
	Cre03.g180600		g3076	
	Cre03.g180650		g3075	
	Cre03.g180700		g3074	
	Cre03.g180750		g3073	
	Cre03.g180800		g3072	
	Cre03.g180850		g3071	
	Cre03.g180900		g3070	
	Cre03.g181000		g3069	
	Cre03.g181050		g3068	
	Cre03.g181150		g3066	
	Cre03.g181200		g3065	
	Cre03.g181250		g3064	
	Cre03.g181300		g3063	
	Cre03.g181350		g3062	
	Cre03.g181400		g3061	
	Cre03.g181450		g3060	
	Cre03.g181500		g3059	
	Cre03.g181700		g3055	
	Cre03.g181750		g3054	
	Cre03.g181800		g3053	
	Cre03.g181950		g3051	
	Cre03.g182000		g3050	
	Cre03.g182050		g3049	
	Cre03.g182100		g3048	
	Cre03.g182150		g3047	
	Cre03.g182200		g3046	
	Cre03.g182300		g3045	
	Cre03.g182350		g3044	
	Cre03.g182400		g3043	
	Cre03.g182450		g3042	
	Cre03.g182500		g3041	
	Cre03.g182550		g3040	
	Cre03.g182551		g3039	
	Cre03.g182600		g3038	
	Cre03.g182650		g3037	
	Cre03.g182750		g3035	
	Cre03.g182800		g3034	
	Cre03.g182850		g3033	
	Cre03.g182900		g3032	
	Cre03.g182950		g3030	
	Cre03.g183000		g3029	
	Cre03.g183050		g3028	
	Cre03.g183100		g3027	
	Cre03.g183150		g3026	
	Cre03.g183200		g3025	
	Cre03.g183250		g3024	
	Cre03.g183300		g3023	
	Cre03.g183400		g3021	
	Cre03.g183550		g3018	
	Cre03.g183600		g3017	
	Cre03.g183750		g3014	
	Cre03.g183800		g3013	
	Cre03.g183850		g3012	
	Cre03.g183900		g3011	
	Cre03.g184000		g3010	
	Cre03.g184050		g3009	
	Cre03.g184100		g3008	
	Cre03.g184151		g3007	
	Cre03.g184250		g3005	
	Cre03.g184400		g3002	
	Cre03.g184450		g3001	
	Cre03.g184500		g3000	
	Cre03.g184550		g2999	
	Cre03.g184651		g2997	
	Cre03.g184700		g2996	
	Cre03.g184800		g2994	
	Cre03.g184850		g2993	
	Cre03.g185050		g2989	
	Cre03.g185100		g2988	
	Cre03.g185150		g2987	
	Cre03.g185200		g2986	
	Cre03.g185250		g2985	
	Cre03.g185300		g2984	
	Cre03.g185550		g2979	
	Cre03.g185600		g2978	
	Cre03.g185650		g2977	
	Cre03.g185700		g1139	
	Cre03.g185750		g2975	
	Cre03.g185850		g2973	
	Cre03.g185950		g2971	
	Cre03.g186000		g2970	
	Cre03.g186050		g2969	
	Cre03.g186100		g2968	
	Cre03.g186150		g2967	
	Cre03.g186200		g2966	
	Cre03.g186300		g2964	
	Cre03.g186400		g2962	
	Cre03.g186450		g2961	
	Cre03.g186650		g2956	
	Cre03.g186900		g2952	
	Cre03.g186950		g2951	
	Cre03.g187000		g2950	
	Cre03.g187150		g2947	
	Cre03.g187200		g2946	
	Cre03.g187250		g2945	
	Cre03.g187450		g2941	
	Cre03.g187500		g2939	
	Cre03.g187650		g2936	
	Cre03.g188200		g2927	
	Cre03.g188250		g2926	
	Cre03.g188300		g2925	
	Cre03.g188450		g2924	
	Cre03.g188500		g2923	
	Cre03.g188550		g2922	
	Cre03.g188650		g2920	
	Cre03.g188700		g2919	
	Cre03.g188750		g2918	
	Cre03.g188800		g2917	
	Cre03.g188900		g2915	
	Cre03.g188950		g2909	
	Cre03.g189000		g2908	
	Cre03.g189050		g2907	
	Cre03.g189100		g2906	
	Cre03.g189200		g2904	
	Cre03.g189250		g2903	
	Cre03.g189300		g2902	
	Cre03.g189350		g2901	
	Cre03.g189400		g2900	
	Cre03.g189450		g2899	
	Cre03.g189500		g2898	
	Cre03.g189550		g2897	
	Cre03.g189700		g2885	
	Cre03.g189800		g2887	
	Cre03.g189850		g2888	
	Cre03.g189901		g2889	
	Cre03.g190100		g2893	
	Cre03.g190150		g2894	
	Cre03.g190250		g2880	
	Cre03.g190500		g2878	
	Cre03.g190750		g2872	
	Cre03.g190800		g2871	
	Cre03.g190850		g2870	
	Cre03.g190900		g2869	
	Cre03.g191050		g2866	
	Cre03.g191100		g2865	
	Cre03.g191150		g2864	
	Cre03.g191250		g2862	
	Cre03.g191800		g2845	
	Cre03.g191850		g2844	
	Cre03.g191950		g2842	
	Cre03.g192000		g2841	
	Cre03.g192100		g2839	
	Cre03.g192350		g2833	
	Cre03.g192550		g2831	
	Cre03.g192600		g2830	
	Cre03.g192750		g294	
	Cre03.g192850		g277	
	Cre03.g192900		g278	
	Cre03.g193000		g280	
	Cre03.g193050		g281	
	Cre03.g193150		g283	
	Cre03.g193200		g284	
	Cre03.g193250		g285	
	Cre03.g193300		g286	
	Cre03.g193350		g287	
	Cre03.g193400		g288	
	Cre03.g193550		g291	
	Cre03.g193700		g296	
	Cre03.g193750		g297	
	Cre03.g193800		g298	
	Cre03.g193850		g299	
	Cre03.g193900		g300	
	Cre03.g193950		g301	
	Cre03.g194000		g302	
	Cre03.g194200		g306	
	Cre03.g194250		g307	
	Cre03.g194350		g309	
	Cre03.g194400		g310	
	Cre03.g194450		g311	
	Cre03.g194700		g339	
	Cre03.g194750		g338	
	Cre03.g194800		g336	
	Cre03.g194850		g335	
	Cre03.g194950		g333	
	Cre03.g195000		g332	
	Cre03.g195050		g331	
	Cre03.g195200		g329	
	Cre03.g195388		g325	
	Cre03.g195410		g324	
	Cre03.g195450		g323	
	Cre03.g195500		g322	
	Cre03.g195600		g321	
	Cre03.g195650		g320	
	Cre03.g195700		g319	
	Cre03.g195850		g316	
	Cre03.g196000		g341	
	Cre03.g196050		g342	
	Cre03.g196150		g344	
	Cre03.g196200		g345	
	Cre03.g196250		g346	
	Cre03.g196300		g347	
	Cre03.g196350		g349	
	Cre03.g196400		g350	
	Cre03.g196500		g352	
	Cre03.g196550		g353	
	Cre03.g196600		g354	
	Cre03.g196850		g357	
	Cre03.g196900		g358	
	Cre03.g196950		g359	
	Cre03.g197000		g360	
	Cre03.g197050		g361	
	Cre03.g197100		g362	
	Cre03.g197300		g366	
	Cre03.g197350		g367	
	Cre03.g197400		g368	
	Cre03.g197500		g370	
	Cre03.g197550		g371	
	Cre03.g197600		g372	
	Cre03.g197650		g373	
	Cre03.g197750		g375	
	Cre03.g197850		g377	
	Cre03.g197900		g378	
	Cre03.g198000		g379	
	Cre03.g198050		g380	
	Cre03.g198100		g382	
	Cre03.g198150		g383	
	Cre03.g198850		g8864	
	Cre03.g198950		g8867	
	Cre03.g199000		g8868	
	Cre03.g199050		g8869	
	Cre03.g199150		g8873	
	Cre03.g199300		g8878	
	Cre03.g199311		g2138	
	Cre03.g199423		g2139	
	Cre03.g199450		g8881	
	Cre03.g199500		g8882	
	Cre03.g199535		g2140	
	Cre03.g199600		g8884	
	Cre03.g199647		g2143	
	Cre03.g199650		g8885	
	Cre03.g199759		g2144	
	Cre03.g199800		g8888	
	Cre03.g199871		g2145	
	Cre03.g199900		g8890	
	Cre03.g199983		g2146	
	Cre03.g200000		g8892	
	Cre03.g200050		g8893	
	Cre03.g200100		g8894	
	Cre03.g200250		g8897	
	Cre03.g200350		g8899	
	Cre03.g200400		g8900	
	Cre03.g200431		g2152	
	Cre03.g200550		g8903	
	Cre03.g200600		g8905	
	Cre03.g200650		g8907	
	Cre03.g200700		g8908	
	Cre03.g200879		g4400	
	Cre03.g200900		g8913	
	Cre03.g200950		g8914	
	Cre03.g201050		g8916	
	Cre03.g201100		g8917	
	Cre03.g201200		g8919	
	Cre03.g201250		g8920	
	Cre03.g201300		g8921	
	Cre03.g201327		g7467	
	Cre03.g201332		g8923	
	Cre03.g201439		g7466	
	Cre03.g201500		g8927	
	Cre03.g201550		g8929	
	Cre03.g201552		g7465	
	Cre03.g201600		g8930	
	Cre03.g201750		g8933	
	Cre03.g201776		g7463	
	Cre03.g201900		g8936	
	Cre03.g201950		g8937	
	Cre03.g202000		g8938	
	Cre03.g202100		g8939	
	Cre03.g202113		g10275	
	Cre03.g202339		g8944	
	Cre03.g202400		g8946	
	Cre03.g202500		g8950	
	Cre03.g202550		g8951	
	Cre03.g202561		g4891	
	Cre03.g202600		g8952	
	Cre03.g202950		g8958	
	Cre03.g203121		g4894	
	Cre03.g203450		g8969	
	Cre03.g203457		g4897	
	Cre03.g203550		g8971	
	Cre03.g203600		g8972	
	Cre03.g203730		g8975	
	Cre03.g203750		g8976	
	Cre03.g203800		g8977	
	Cre03.g203850		g8978	
	Cre03.g203950		g8980	
	Cre03.g204000		g8981	
	Cre03.g204050		g8982	
	Cre03.g204100		g8984	
	Cre03.g204150		g8985	
	Cre03.g204200		g8986	
	Cre03.g204250		g8987	
	Cre03.g204300		g8988	
	Cre03.g204350		g8989	
	Cre03.g204353		g4905	
	Cre03.g204465		g4906	
	Cre03.g204601		g8992	
	Cre03.g204650		g8993	
	Cre03.g204750		g8997	
	Cre03.g204752		g8994	
	Cre03.g204800		g8998	
	Cre03.g204913		g4910	
	Cre03.g205050		g9002	
	Cre03.g205250		g9004	
	Cre03.g205361		g4914	
	Cre03.g205473		g6572	
	Cre03.g205600		g9013	
	Cre03.g205650		g9014	
	Cre03.g205697		g6574	
	Cre03.g205750		g9017	
	Cre03.g205850		g9019	
	Cre03.g205900		g9020	
	Cre03.g205950		g9021	
	Cre03.g206000		g9022	
	Cre03.g206033		g6577	
	Cre03.g206452		g9028	
	Cre03.g206481		g6581	
	Cre03.g206550		g3818	
	Cre03.g206593		g6582	
	Cre03.g206600		g3819	
	Cre03.g206650		g3820	
	Cre03.g206705		g6583	
	Cre03.g206750		g3822	
	Cre03.g206800		g3823	
	Cre03.g206850		g3824	
	Cre03.g206900		g3825	
	Cre03.g206929		g6585	
	Cre03.g207000		g3827	
	Cre03.g207041		g6586	
	Cre03.g207150		g3828	
	Cre03.g207153		g6587	
	Cre03.g207250		g3830	
	Cre03.g207400		g3833	
	Cre03.g207500		g3835	
	Cre03.g207502		g3834	
	Cre03.g207550		g3836	
	Cre03.g207600		g3838	
	Cre03.g207700		g3840	
	Cre03.g207713		g6593	
	Cre03.g207800		g3842	
	Cre03.g207825		g6592	
	Cre03.g207900		g3844	
	Cre03.g207901		g3843	
	Cre03.g207918		g3845	
	Cre03.g207950		g3846	
	Cre03.g208000		g3847	
	Cre03.g208050		g3848	
	Cre03.g208100		g3850	
	Cre03.g209393		g6604	
	Cre03.g209505		g6605	
	Cre03.g209841		g6607	
	Cre03.g210177		g6610	
	Cre03.g210401		g6612	
	Cre03.g210513		g6613	
	Cre03.g210961		g6616	
	Cre03.g211073		g6617	
	Cre03.g211409		g6621	
	Cre03.g211521		g6622	
	Cre03.g211745		g6623	
	Cre03.g212753		g6633	
	Cre03.g213425		g8859	
	Cre03.g213537		g8860	
	Cre03.g800288		g16495	
	Cre03.g800291		g16509	
	Cre03.g800310		g16790	
	Cre03.g800330		g16063	
	Cre03.g800331		g16080	
	Cre03.g800334		g16092	
	Cre03.g800337		g16140	
	Cre03.g800348		g2930	
	Cre03.g800356		g2867	
	Cre03.g800358		g2847	
	Cre03.g800390		g9003	
	Cre03.g800413		g4900	
	Cre03.g800415		g2154	
	Cre50.g761397		g8654	
	Cre07.g312050		g10569	
	Cre07.g312100		g10570	
	Cre07.g312300		g10572	
	Cre07.g312350		g10573	
	Cre07.g312495		g10575	
	Cre07.g312750		g10576	
	Cre07.g312850		g10578	
	Cre07.g313164		g10586	
	Cre07.g313185		g10587	
	Cre07.g313250		g10589	
	Cre07.g313302		g10590	
	Cre07.g313450		g10593	
	Cre07.g313550		g10597	
	Cre07.g313700		g10604	
	Cre07.g313800		g10605	
	Cre07.g313850		g10606	
	Cre07.g314000		g10609	
	Cre07.g314050		g10611	
	Cre07.g314100		g10612	
	Cre07.g314150		g10613	
	Cre07.g314300		g10622	
	Cre07.g314450		g10619	
	Cre07.g314500		g10618	
	Cre07.g314550		g10617	
	Cre07.g314600		g10614	
	Cre07.g314650		g10624	
	Cre07.g314900		g10631	
	Cre07.g314950		g10632	
	Cre07.g315050		g10634	
	Cre07.g315100		g10635	
	Cre07.g315150		g10636	
	Cre07.g315326		g10638	
	Cre07.g315650		g10648	
	Cre07.g315750		g10650	
	Cre07.g315900		g10653	
	Cre07.g316000		g10655	
	Cre07.g316050		g10656	
	Cre07.g316350		g2712	
	Cre07.g316400		g10659	
	Cre07.g316500		g10662	
	Cre07.g316526		g10663	
	Cre07.g316600		g10664	
	Cre07.g316650		g10668	
	Cre07.g316850		g10671	
	Cre07.g317000		g4280	
	Cre07.g317100		g10680	
	Cre07.g317150		g10681	
	Cre07.g317300		g10684	
	Cre07.g317550		g10687	
	Cre07.g317800		g10692	
	Cre07.g317850		g10690	
	Cre07.g318000		g10699	
	Cre07.g318050		g10700	
	Cre07.g318300		g10705	
	Cre07.g318350		g10706	
	Cre07.g318400		g10707	
	Cre07.g318450		g10708	
	Cre07.g318600		g10711	
	Cre07.g318702		g10713	
	Cre07.g318750		g10714	
	Cre07.g318800		g10719	
	Cre07.g318850		g10720	
	Cre07.g319300		g10732	
	Cre07.g319320		g10734	
	Cre07.g319452		g10735	
	Cre07.g319701		g10743	
	Cre07.g319850		g10746	
	Cre07.g319900		g10747	
	Cre07.g319950		g10748	
	Cre07.g320000		g10749	
	Cre07.g320150		g10753	
	Cre07.g320200		g10754	
	Cre07.g320250		g10755	
	Cre07.g320300		g10756	
	Cre07.g320350		g10757	
	Cre07.g320450		g10759	
	Cre07.g320500		g10760	
	Cre07.g320550		g10761	
	Cre07.g320600		g10762	
	Cre07.g320750		g452	
	Cre07.g320800		g10765	
	Cre07.g320850		g10766	
	Cre07.g320900		g10767	
	Cre07.g320950		g10768	
	Cre07.g321100		g10772	
	Cre07.g321200		g10774	
	Cre07.g321250		g10775	
	Cre07.g321300		g10776	
	Cre07.g321350		g10778	
	Cre07.g321550		g10790	
	Cre07.g321700		g10793	
	Cre07.g321750		g10794	
	Cre07.g321800		g10795	
	Cre07.g321850		g10796	
	Cre07.g321900		g10797	
	Cre07.g321951		g10798	
	Cre07.g322050		g10800	
	Cre07.g322100		g10801	
	Cre07.g322176		g10802	
	Cre07.g322250		g10803	
	Cre07.g322500		g10807	
	Cre07.g322550		g10808	
	Cre07.g322900		g10813	
	Cre07.g322950		g10814	
	Cre07.g323050		g10816	
	Cre07.g323200		g10819	
	Cre07.g323250		g10820	
	Cre07.g323600		g10825	
	Cre07.g323750		g10829	
	Cre07.g323900		g10831	
	Cre07.g323950		g10832	
	Cre07.g324000		g10833	
	Cre07.g324050		g10834	
	Cre07.g324150		g10837	
	Cre07.g324200		g10838	
	Cre07.g324222		g10840	
	Cre07.g324233		g10841	
	Cre07.g324350		g10842	
	Cre07.g324400		g10843	
	Cre07.g324500		g10845	
	Cre07.g324550		g10846	
	Cre07.g324600		g10847	
	Cre07.g324650		g10848	
	Cre07.g324700		g10849	
	Cre07.g324750		g10850	
	Cre07.g324800		g10851	
	Cre07.g325000		g10854	
	Cre07.g325050		g10855	
	Cre07.g325101		g10856	
	Cre07.g325250		g10858	
	Cre07.g325400		g10861	
	Cre07.g325450		g10862	
	Cre07.g325500		g10863	
	Cre07.g325550		g10864	
	Cre07.g325600		g10865	
	Cre07.g325700		g14071	
	Cre07.g325712		g10868	
	Cre07.g325713		g10869	
	Cre07.g325714		g10870	
	Cre07.g325715		g10871	
	Cre07.g325716		g10872	
	Cre07.g325722		g10878	
	Cre07.g325723		g10879	
	Cre07.g325724		g10880	
	Cre07.g325725		g10881	
	Cre07.g325728		g10883	
	Cre07.g325731		g10887	
	Cre07.g325732		g10888	
	Cre07.g325734		g10890	
	Cre07.g325735		g10891	
	Cre07.g325736		g10892	
	Cre07.g325740		g10898	
	Cre07.g325743		g10899	
	Cre07.g325744		g10900	
	Cre07.g325745		g10901	
	Cre07.g325746		g10902	
	Cre07.g325748		g10906	
	Cre07.g325751		g10908	
	Cre07.g325754		g10912	
	Cre07.g325755		g10911	
	Cre07.g325757		g12188	
	Cre07.g325762		g14072	
	Cre07.g325950		g14077	
	Cre07.g326200		g14088	
	Cre07.g326250		g14089	
	Cre07.g326300		g14090	
	Cre07.g326350		g14091	
	Cre07.g326400		g14092	
	Cre07.g326450		g14093	
	Cre07.g326500		g14094	
	Cre07.g326600		g267	
	Cre07.g326800		g261	
	Cre07.g326900		g259	
	Cre07.g326950		g258	
	Cre07.g327079		g256	
	Cre07.g327350		g251	
	Cre07.g327400		g250	
	Cre07.g327700		g242	
	Cre07.g327750		g241	
	Cre07.g327900		g238	
	Cre07.g328000		g236	
	Cre07.g328150		g233	
	Cre07.g328200		g232	
	Cre07.g328350		g229	
	Cre07.g328450		g227	
	Cre07.g328750		g223	
	Cre07.g328800		g222	
	Cre07.g328900		g220	
	Cre07.g329000		g218	
	Cre07.g329150		g216	
	Cre07.g329300		g214	
	Cre07.g329350		g209	
	Cre07.g329500		g206	
	Cre07.g329650		g204	
	Cre07.g329700		g13576	
	Cre07.g329750		g203	
	Cre07.g329800		g202	
	Cre07.g329850		g201	
	Cre07.g329882		g199	
	Cre07.g329900		g197	
	Cre07.g330050		g196	
	Cre07.g330100		g195	
	Cre07.g330200		g193	
	Cre07.g330250		g192	
	Cre07.g330350		g189	
	Cre07.g330400		g188	
	Cre07.g330450		g187	
	Cre07.g330500		g186	
	Cre07.g330650		g183	
	Cre07.g330850		g179	
	Cre07.g330950		g177	
	Cre07.g331500		g162	
	Cre07.g331550		g161	
	Cre07.g331750		g158	
	Cre07.g331800		g157	
	Cre07.g331900		g155	
	Cre07.g332050		g1587	
	Cre07.g332100		g153	
	Cre07.g332150		g152	
	Cre07.g332300		g148	
	Cre07.g332450		g141	
	Cre07.g332500		g142	
	Cre07.g332550		g143	
	Cre07.g332650		g145	
	Cre07.g332700		g138	
	Cre07.g332786		g136	
	Cre07.g332800		g135	
	Cre07.g332950		g133	
	Cre07.g333000		g131	
	Cre07.g333100		g128	
	Cre07.g333150		g127	
	Cre07.g333400		g126	
	Cre07.g333450		g125	
	Cre07.g333500		g124	
	Cre07.g333535		g123	
	Cre07.g333850		g10331	
	Cre07.g333900		g10334	
	Cre07.g333950		g10336	
	Cre07.g334100		g4380	
	Cre07.g334150		g4379	
	Cre07.g334200		g4378	
	Cre07.g334250		g4377	
	Cre07.g334300		g4374	
	Cre07.g334350		g4373	
	Cre07.g334550		g4370	
	Cre07.g334600		g4367	
	Cre07.g334700		g4365	
	Cre07.g334750		g4364	
	Cre07.g334800		g4363	
	Cre07.g334851		g4362	
	Cre07.g335200		g4350	
	Cre07.g335300		g4346	
	Cre07.g335400		g4344	
	Cre07.g335600		g4341	
	Cre07.g335700		g4338	
	Cre07.g335750		g4337	
	Cre07.g335800		g4336	
	Cre07.g335850		g4335	
	Cre07.g335900		g4334	
	Cre07.g336000		g4332	
	Cre07.g336050		g4331	
	Cre07.g336100		g4330	
	Cre07.g336200		g4323	
	Cre07.g336250		g4324	
	Cre07.g336400		g4326	
	Cre07.g336450		g4327	
	Cre07.g336600		g4320	
	Cre07.g336700		g4317	
	Cre07.g336850		g4315	
	Cre07.g336900		g4314	
	Cre07.g336950		g4313	
	Cre07.g337100		g4309	
	Cre07.g337150		g4307	
	Cre07.g337300		g4304	
	Cre07.g337650		g4295	
	Cre07.g337750		g4293	
	Cre07.g338000		g4286	
	Cre07.g338050		g4285	
	Cre07.g338200		g4282	
	Cre07.g338250		g4281	
	Cre07.g338300		g4279	
	Cre07.g338350		g4278	
	Cre07.g338400		g4277	
	Cre07.g338451		g4276	
	Cre07.g338900		g9493	
	Cre07.g339050		g9490	
	Cre07.g339150		g9486	
	Cre07.g339200		g9485	
	Cre07.g339300		g9483	
	Cre07.g339350		g9482	
	Cre07.g339500		g9479	
	Cre07.g339554		g9478	
	Cre07.g339600		g9477	
	Cre07.g339700		g9475	
	Cre07.g339750		g9474	
	Cre07.g339900		g9473	
	Cre07.g339950		g8528	
	Cre07.g340050		g9469	
	Cre07.g340150		g9471	
	Cre07.g340200		g9472	
	Cre07.g340350		g9466	
	Cre07.g340400		g9465	
	Cre07.g340450		g9464	
	Cre07.g340650		g9460	
	Cre07.g340700		g9459	
	Cre07.g340750		g9458	
	Cre07.g340850		g9421	
	Cre07.g340900		g9422	
	Cre07.g341550		g9429	
	Cre07.g341600		g9430	
	Cre07.g341650		g9431	
	Cre07.g341850		g9436	
	Cre07.g341952		g9420	
	Cre07.g342050		g9441	
	Cre07.g342100		g9442	
	Cre07.g342150		g9443	
	Cre07.g342200		g9444	
	Cre07.g342250		g9445	
	Cre07.g342350		g9447	
	Cre07.g342352		g9446	
	Cre07.g342550		g9450	
	Cre07.g342750		g9452	
	Cre07.g342800		g9453	
	Cre07.g342850		g9454	
	Cre07.g342920		g9456	
	Cre07.g343050		g9419	
	Cre07.g343101		g9418	
	Cre07.g343700		g9412	
	Cre07.g343800		g9409	
	Cre07.g343850		g9408	
	Cre07.g344000		g9405	
	Cre07.g344050		g9404	
	Cre07.g344150		g9402	
	Cre07.g344300		g9399	
	Cre07.g344350		g9398	
	Cre07.g344400		g9397	
	Cre07.g344550		g9395	
	Cre07.g344600		g9394	
	Cre07.g344850		g9390	
	Cre07.g344950		g9388	
	Cre07.g345150		g9382	
	Cre07.g345200		g9381	
	Cre07.g345300		g9380	
	Cre07.g345400		g9378	
	Cre07.g345500		g9376	
	Cre07.g345700		g9373	
	Cre07.g345800		g9371	
	Cre07.g345850		g9370	
	Cre07.g346050		g9366	
	Cre07.g346317		g9359	
	Cre07.g346350		g9358	
	Cre07.g346400		g9357	
	Cre07.g346450		g9355	
	Cre07.g346600		g9350	
	Cre07.g346800		g9343	
	Cre07.g346900		g9342	
	Cre07.g347050		g9340	
	Cre07.g347100		g9339	
	Cre07.g347150		g9338	
	Cre07.g347200		g9337	
	Cre07.g347350		g9336	
	Cre07.g347650		g9330	
	Cre07.g347750		g9327	
	Cre07.g347800		g9326	
	Cre07.g348040		g7628	
	Cre07.g348100		g7625	
	Cre07.g348450		g7617	
	Cre07.g348500		g7616	
	Cre07.g348600		g7614	
	Cre07.g348750		g7611	
	Cre07.g348850		g7609	
	Cre07.g349050		g7604	
	Cre07.g349100		g7603	
	Cre07.g349200		g7599	
	Cre07.g349250		g7598	
	Cre07.g349350		g7596	
	Cre07.g349400		g7595	
	Cre07.g349450		g7594	
	Cre07.g349600		g7591	
	Cre07.g349700		g7589	
	Cre07.g349750		g7588	
	Cre07.g349950		g7584	
