CREN	CSCH	MALA	JG05	CINC
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
Cre01.g030600	g6149	Mal24_g4263	JG24_g1785	g6595
