CSCH	JG05	MALA	CREN	CINC
g8618	JG24_g4652	Mal24_g13015	Cre03.g166750	g5651
g8613	JG24_g4654	Mal24_g13020	Cre03.g166650	g5653
g8611	JG24_g4656	Mal24_g13022	Cre03.g166550	g5659
g8607	JG24_g4661	Mal24_g13027	Cre03.g166250	g5666
g8606	JG24_g4662	Mal24_g13028	Cre03.g166201	g5667
g8603	JG24_g4663	Mal24_g13030	Cre03.g166050	g5669
g8598	JG24_g4666	Mal24_g13035	Cre03.g165900	g5672
g8595	JG24_g4672	Mal24_g13039	Cre03.g165750	g5676
g8594	JG24_g4673	Mal24_g13040	Cre03.g165700	g5677
g8593	JG24_g4674	Mal24_g13041	Cre03.g165650	g5678
g16870	JG24_g4680	Mal24_g13047	Cre03.g165350	g5683
g16865	JG24_g4688	Mal24_g13052	Cre03.g165100	g5688
g8005	JG24_g4697	Mal24_g10890	Cre17.g709700	g3537
g8002	JG24_g4700	Mal24_g10886	Cre17.g709850	g3530
g8000	JG24_g4702	Mal24_g10884	Cre17.g709950	g3528
g7998	JG24_g4704	Mal24_g10882	Cre17.g710050	g3526
g7997	JG24_g4705	Mal24_g10881	Cre17.g710100	g3525
g7996	JG24_g4706	Mal24_g10880	Cre17.g710150	g3524
g7979	JG24_g4719	Mal24_g10865	Cre17.g710800	g3512
g7978	JG24_g4720	Mal24_g10864	Cre17.g710850	g3511
g7977	JG24_g4721	Mal24_g10863	Cre17.g711000	g3510
g7976	JG24_g4724	Mal24_g10862	Cre17.g711050	g3509
g7974	JG24_g4726	Mal24_g10860	Cre17.g711150	g3507
g7973	JG24_g4727	Mal24_g10859	Cre17.g711200	g3506
g7972	JG24_g4730	Mal24_g10858	Cre17.g711250	g3505
g7971	JG24_g4731	Mal24_g10857	Cre17.g711300	g3504
g7970	JG24_g4734	Mal24_g10854	Cre17.g711450	g3502
g7962	JG24_g4742	Mal24_g10846	Cre17.g711900	g3492
g7961	JG24_g4745	Mal24_g10843	Cre17.g711950	g3490
g7958	JG24_g4748	Mal24_g10840	Cre17.g712100	g3487
g7956	JG24_g4750	Mal24_g10838	Cre17.g712300	g3485
g7955	JG24_g4751	Mal24_g10837	Cre17.g712350	g3484
g7954	JG24_g4752	Mal24_g10836	Cre17.g712400	g3483
g7951	JG24_g4755	Mal24_g10833	Cre17.g712850	g3481
g7941	JG24_g4760	Mal24_g10828	Cre17.g713100	g3475
g7939	JG24_g4764	Mal24_g10826	Cre17.g713350	g3473
g7928	JG24_g4771	Mal24_g10821	Cre17.g713900	g3459
g7929	JG24_g4772	Mal24_g10820	Cre17.g713850	g3460
g7930	JG24_g4774	Mal24_g10819	Cre17.g713800	g3461
g7922	JG24_g4794	Mal24_g10807	Cre17.g714250	g3450
g7911	JG24_g4806	Mal24_g10796	Cre17.g714900	g3438
g7909	JG24_g4808	Mal24_g10794	Cre17.g715000	g3436
g7907	JG24_g4810	Mal24_g10792	Cre17.g715100	g3434
g7906	JG24_g4811	Mal24_g10791	Cre17.g715150	g3433
g7905	JG24_g4812	Mal24_g10790	Cre17.g715200	g3432
g7904	JG24_g4813	Mal24_g10789	Cre17.g715250	g3431
g7903	JG24_g4814	Mal24_g10788	Cre17.g715300	g3430
g7899	JG24_g4817	Mal24_g10784	Cre17.g715500	g3427
g7895	JG24_g4822	Mal24_g10779	Cre17.g715700	g3423
g7894	JG24_g4823	Mal24_g10778	Cre17.g715750	g3422
g7739	JG24_g4827	Mal24_g10773	Cre17.g715900	g3417
g7738	JG24_g4828	Mal24_g10772	Cre17.g715950	g3416
g7737	JG24_g4829	Mal24_g10771	Cre17.g716000	g3415
g7731	JG24_g4835	Mal24_g10766	Cre17.g716400	g3411
g14667	JG24_g4847	Mal24_g10754	Cre17.g717150	g3398
g14666	JG24_g4848	Mal24_g10753	Cre17.g717200	g3397
g14664	JG24_g4850	Mal24_g10748	Cre17.g717300	g3395
g14662	JG24_g4852	Mal24_g10746	Cre17.g717700	g3391
g14661	JG24_g4853	Mal24_g10745	Cre17.g717750	g3390
g14660	JG24_g4854	Mal24_g10744	Cre17.g717800	g3389
g14654	JG24_g4859	Mal24_g10739	Cre17.g718050	g3382
g14648	JG24_g4865	Mal24_g10732	Cre17.g718250	g3376
g14647	JG24_g4866	Mal24_g10731	Cre17.g718300	g3375
g14646	JG24_g4867	Mal24_g10730	Cre17.g718350	g3374
g14642	JG24_g4871	Mal24_g10725	Cre17.g718500	g3369
g14640	JG24_g4873	Mal24_g10723	Cre17.g718600	g3367
g14639	JG24_g4874	Mal24_g10722	Cre17.g718650	g3366
g14637	JG24_g4876	Mal24_g10720	Cre17.g718750	g3364
g14636	JG24_g4877	Mal24_g10719	Cre17.g718800	g3363
g14634	JG24_g4879	Mal24_g10717	Cre17.g718900	g3361
g14630	JG24_g4880	Mal24_g10716	Cre17.g718950	g3360
g14629	JG24_g4881	Mal24_g10714	Cre17.g719000	g3359
g14628	JG24_g4882	Mal24_g10713	Cre17.g719050	g3358
g14626	JG24_g4886	Mal24_g10707	Cre17.g719250	g3354
g14622	JG24_g4890	Mal24_g10703	Cre17.g719450	g3349
g14618	JG24_g4895	Mal24_g10698	Cre17.g719600	g3345
g14615	JG24_g4897	Mal24_g10695	Cre17.g719900	g3342
g14612	JG24_g4900	Mal24_g10692	Cre17.g720050	g3339
g14607	JG24_g4903	Mal24_g10687	Cre17.g720183	g3336
g14606	JG24_g4904	Mal24_g10686	Cre17.g720250	g3334
g14603	JG24_g4907	Mal24_g10683	Cre17.g720350	g3329
g14601	JG24_g4909	Mal24_g10680	Cre17.g720450	g3327
g14599	JG24_g4911	Mal24_g10678	Cre17.g720528	g3325
g14598	JG24_g4912	Mal24_g10677	Cre17.g720550	g3324
g14597	JG24_g4913	Mal24_g10676	Cre17.g720600	g3323
g14582	JG24_g4918	Mal24_g10671	Cre17.g720950	g3318
g14577	JG24_g4923	Mal24_g10664	Cre17.g721200	g3313
g14576	JG24_g4924	Mal24_g10663	Cre17.g721250	g3312
g14575	JG24_g4925	Mal24_g10662	Cre17.g721300	g3311
g14574	JG24_g4926	Mal24_g10661	Cre17.g721350	g3310
g14572	JG24_g4928	Mal24_g10659	Cre17.g721450	g3308
g14571	JG24_g4929	Mal24_g10658	Cre17.g721500	g3307
g14569	JG24_g4932	Mal24_g10656	Cre17.g721600	g3305
g14567	JG24_g4934	Mal24_g10654	Cre17.g721700	g3303
g14566	JG24_g4935	Mal24_g10653	Cre17.g721750	g3302
g14565	JG24_g4937	Mal24_g10650	Cre17.g721800	g3300
g14563	JG24_g4939	Mal24_g10648	Cre17.g721900	g3298
g14562	JG24_g4940	Mal24_g10647	Cre17.g721950	g3297
g14561	JG24_g4941	Mal24_g10646	Cre17.g722000	g3296
g14559	JG24_g4944	Mal24_g10643	Cre17.g722150	g3293
g14558	JG24_g4945	Mal24_g10642	Cre17.g722200	g3292
g14556	JG24_g4947	Mal24_g10640	Cre17.g722300	g3290
g14555	JG24_g4948	Mal24_g10639	Cre17.g722350	g3289
g14554	JG24_g4949	Mal24_g10638	Cre17.g722400	g3288
g14552	JG24_g4952	Mal24_g10636	Cre17.g722500	g3286
g14551	JG24_g4953	Mal24_g10635	Cre17.g722700	g3285
g14550	JG24_g4954	Mal24_g10634	Cre17.g722750	g3284
g14549	JG24_g4955	Mal24_g10633	Cre17.g722800	g3283
g14546	JG24_g4958	Mal24_g10631	Cre17.g722950	g3279
g14543	JG24_g4962	Mal24_g10627	Cre17.g723150	g3276
g14542	JG24_g4963	Mal24_g10626	Cre17.g723200	g3275
g14541	JG24_g4964	Mal24_g10625	Cre17.g723250	g3274
g14539	JG24_g4966	Mal24_g10623	Cre17.g723350	g3272
g14538	JG24_g4967	Mal24_g10622	Cre17.g723400	g3271
g14536	JG24_g4969	Mal24_g10620	Cre17.g723500	g3269
g14535	JG24_g4970	Mal24_g10619	Cre17.g723550	g3268
g14534	JG24_g4971	Mal24_g10618	Cre17.g723600	g3267
g14533	JG24_g4972	Mal24_g10617	Cre17.g723650	g3266
g14531	JG24_g4974	Mal24_g10615	Cre17.g723750	g3263
g14530	JG24_g4975	Mal24_g10614	Cre17.g723800	g3262
g14528	JG24_g4977	Mal24_g10612	Cre17.g723900	g3260
g14527	JG24_g4978	Mal24_g10611	Cre17.g723950	g3259
g14524	JG24_g4983	Mal24_g10605	Cre17.g724150	g3255
g14523	JG24_g4984	Mal24_g10604	Cre17.g724200	g3254
g14522	JG24_g4985	Mal24_g10603	Cre17.g724300	g3253
g14521	JG24_g4986	Mal24_g10602	Cre17.g724350	g3252
g14520	JG24_g4987	Mal24_g10601	Cre17.g724400	g3251
g14517	JG24_g4990	Mal24_g10599	Cre17.g724550	g3248
g14516	JG24_g4991	Mal24_g10598	Cre17.g724600	g3247
g14514	JG24_g4993	Mal24_g10596	Cre17.g724700	g3245
g14513	JG24_g4995	Mal24_g10595	Cre17.g724750	g3244
g14511	JG24_g4997	Mal24_g10593	Cre17.g724850	g3242
g14510	JG24_g4998	Mal24_g10592	Cre17.g802069	g3241
g14506	JG24_g5003	Mal24_g10588	Cre17.g725050	g2855
g14502	JG24_g5006	Mal24_g10585	Cre17.g725200	g2858
g14498	JG24_g5009	Mal24_g10582	Cre17.g725400	g2861
g14495	JG24_g5011	Mal24_g10580	Cre17.g725500	g2863
g14487	JG24_g5019	Mal24_g10570	Cre17.g725950	g2872
g14485	JG24_g5021	Mal24_g10568	Cre17.g726050	g2874
g14484	JG24_g5022	Mal24_g10567	Cre17.g726000	g2875
g14481	JG24_g5025	Mal24_g10564	Cre17.g726250	g2878
g14480	JG24_g5026	Mal24_g10563	Cre17.g726300	g2879
g14479	JG24_g5027	Mal24_g10562	Cre17.g726350	g2880
g14478	JG24_g5028	Mal24_g10561	Cre17.g726400	g2881
g14477	JG24_g5029	Mal24_g10560	Cre17.g726450	g2882
g14476	JG24_g5030	Mal24_g10559	Cre17.g726500	g2883
g14473	JG24_g5032	Mal24_g10557	Cre17.g726650	g2885
g14472	JG24_g5033	Mal24_g10556	Cre17.g726700	g2886
g14471	JG24_g5034	Mal24_g10555	Cre17.g726750	g2887
g14465	JG24_g5039	Mal24_g10549	Cre17.g726983	g2892
g14448	JG24_g5042	Mal24_g10545	Cre17.g727100	g2901
g14445	JG24_g5045	Mal24_g10541	Cre17.g727300	g2905
g14443	JG24_g5048	Mal24_g10538	Cre17.g727400	g2908
g14441	JG24_g5050	Mal24_g10536	Cre17.g727500	g2910
g14437	JG24_g5053	Mal24_g10533	Cre17.g727650	g2913
g14436	JG24_g5054	Mal24_g10532	Cre17.g727700	g2914
g14432	JG24_g5061	Mal24_g10523	Cre10.g451400	g2920
g14428	JG24_g5064	Mal24_g10519	Cre10.g451150	g2923
g14424	JG24_g5069	Mal24_g10515	Cre10.g450900	g2929
g14422	JG24_g5071	Mal24_g10514	Cre10.g450850	g2931
g14418	JG24_g5075	Mal24_g10510	Cre10.g450550	g2935
g14415	JG24_g5078	Mal24_g10507	Cre10.g450400	g2938
g14414	JG24_g5079	Mal24_g10506	Cre10.g450350	g2939
g14405	JG24_g5088	Mal24_g10498	Cre10.g449901	g2948
g14403	JG24_g5097	Mal24_g10495	Cre10.g449700	g2952
g14401	JG24_g5101	Mal24_g10493	Cre10.g449800	g2954
g14398	JG24_g5105	Mal24_g10490	Cre10.g449550	g2959
g14396	JG24_g5109	Mal24_g10487	Cre10.g449350	g2962
g14395	JG24_g5110	Mal24_g10486	Cre10.g449250	g2963
g14393	JG24_g5112	Mal24_g10484	Cre10.g449150	g2965
g14390	JG24_g5115	Mal24_g10481	Cre10.g449100	g2968
g14389	JG24_g5116	Mal24_g10480	Cre10.g449050	g2969
g14379	JG24_g5122	Mal24_g10472	Cre10.g448850	g2975
g14378	JG24_g5123	Mal24_g10471	Cre10.g448800	g2976
g14377	JG24_g5124	Mal24_g10470	Cre10.g448750	g2977
g14376	JG24_g5125	Mal24_g10469	Cre10.g448700	g2978
g14372	JG24_g5128	Mal24_g10465	Cre10.g448550	g2982
g14370	JG24_g5131	Mal24_g10462	Cre10.g448450	g2984
g14368	JG24_g5133	Mal24_g10460	Cre10.g448350	g2985
g14362	JG24_g5139	Mal24_g10454	Cre10.g448051	g2991
g14361	JG24_g5140	Mal24_g10453	Cre10.g448000	g2992
g14359	JG24_g5141	Mal24_g10452	Cre10.g447950	g2993
g14358	JG24_g5143	Mal24_g10449	Cre10.g447900	g2994
g14357	JG24_g5144	Mal24_g10448	Cre10.g447850	g2995
g14347	JG24_g5155	Mal24_g10439	Cre10.g447350	g3002
g14346	JG24_g5156	Mal24_g10438	Cre10.g447300	g3003
g14345	JG24_g5159	Mal24_g10437	Cre10.g447100	g3004
g14344	JG24_g5161	Mal24_g10435	Cre10.g447000	g3006
g14342	JG24_g5163	Mal24_g10433	Cre10.g446900	g3008
g14340	JG24_g5165	Mal24_g10431	Cre10.g446800	g3012
g14339	JG24_g5166	Mal24_g10430	Cre10.g446750	g3013
g14338	JG24_g5167	Mal24_g10429	Cre10.g446700	g3014
g14336	JG24_g5169	Mal24_g10427	Cre10.g446550	g3016
g14335	JG24_g5170	Mal24_g10426	Cre10.g446500	g3017
g14334	JG24_g5171	Mal24_g10425	Cre10.g446450	g3018
g14333	JG24_g5172	Mal24_g10424	Cre10.g446400	g3019
g14332	JG24_g5173	Mal24_g10423	Cre10.g446350	g3020
g14326	JG24_g5177	Mal24_g10418	Cre10.g446200	g3024
g14325	JG24_g5178	Mal24_g10417	Cre10.g446150	g3025
g14324	JG24_g5179	Mal24_g10416	Cre10.g446100	g3026
g14323	JG24_g5180	Mal24_g10415	Cre10.g446050	g3027
g14311	JG24_g5187	Mal24_g10405	Cre10.g445650	g3035
g675	JG24_g5204	Mal24_g10390	Cre10.g445050	g13164
g672	JG24_g5207	Mal24_g10387	Cre10.g444900	g13168
g670	JG24_g5209	Mal24_g10385	Cre10.g444800	g13170
g668	JG24_g5211	Mal24_g10383	Cre10.g444700	g13172
g665	JG24_g5215	Mal24_g10379	Cre10.g444550	g13175
g664	JG24_g5216	Mal24_g10378	Cre10.g444500	g13176
g663	JG24_g5217	Mal24_g10377	Cre10.g444450	g13178
g662	JG24_g5218	Mal24_g10376	Cre10.g444400	g13179
g656	JG24_g5222	Mal24_g10372	Cre10.g443850	g13184
g655	JG24_g5223	Mal24_g10371	Cre10.g443801	g13185
g654	JG24_g5224	Mal24_g10370	Cre10.g443750	g13186
g648	JG24_g5229	Mal24_g10364	Cre10.g443500	g13193
g646	JG24_g5232	Mal24_g10361	Cre10.g443450	g13194
g644	JG24_g5234	Mal24_g10359	Cre10.g443300	g13197
g643	JG24_g5235	Mal24_g10358	Cre10.g443250	g13198
g640	JG24_g5240	Mal24_g10355	Cre10.g443100	g13201
g637	JG24_g5243	Mal24_g10352	Cre10.g442950	g13204
g634	JG24_g5247	Mal24_g10347	Cre10.g442750	g13208
g633	JG24_g5248	Mal24_g10346	Cre10.g442700	g13209
g632	JG24_g5249	Mal24_g10345	Cre10.g442650	g13210
g631	JG24_g5250	Mal24_g10344	Cre10.g442600	g13211
g627	JG24_g5253	Mal24_g10341	Cre10.g442400	g13214
g623	JG24_g5256	Mal24_g10335	Cre10.g442200	g13218
g621	JG24_g5258	Mal24_g10333	Cre10.g442000	g13219
g620	JG24_g5259	Mal24_g10332	Cre10.g441950	g13220
g619	JG24_g5260	Mal24_g10331	Cre10.g441900	g13221
g616	JG24_g5263	Mal24_g10326	Cre10.g441750	g13224
g615	JG24_g5264	Mal24_g10325	Cre10.g441700	g13225
g611	JG24_g5268	Mal24_g10321	Cre10.g441500	g13228
g609	JG24_g5270	Mal24_g10319	Cre10.g441400	g13230
g608	JG24_g5271	Mal24_g10318	Cre10.g441350	g13231
g606	JG24_g5273	Mal24_g10316	Cre10.g441250	g13236
g603	JG24_g5276	Mal24_g10313	Cre10.g441100	g13239
g601	JG24_g5277	Mal24_g10311	Cre10.g441000	g13241
g599	JG24_g5279	Mal24_g10309	Cre10.g440900	g13243
g598	JG24_g5280	Mal24_g10308	Cre10.g440850	g13244
g594	JG24_g5284	Mal24_g10305	Cre10.g440650	g13247
g590	JG24_g5289	Mal24_g10301	Cre10.g440450	g13251
g589	JG24_g5290	Mal24_g10300	Cre10.g440400	g13252
g587	JG24_g5293	Mal24_g10296	Cre10.g440300	g13255
g585	JG24_g5294	Mal24_g10294	Cre10.g440250	g13256
g584	JG24_g5295	Mal24_g10293	Cre10.g440200	g13257
g583	JG24_g5296	Mal24_g10292	Cre10.g440150	g13258
g582	JG24_g5297	Mal24_g10291	Cre10.g440100	g13259
g581	JG24_g5298	Mal24_g10290	Cre10.g440050	g13260
g576	JG24_g5303	Mal24_g10285	Cre10.g439850	g13267
g572	JG24_g5306	Mal24_g10282	Cre10.g439650	g13270
g571	JG24_g5307	Mal24_g10281	Cre10.g439600	g13271
g570	JG24_g5308	Mal24_g10280	Cre10.g439550	g13272
g569	JG24_g5312	Mal24_g10279	Cre10.g439450	g13273
g568	JG24_g5313	Mal24_g10278	Cre10.g439400	g13274
g567	JG24_g5314	Mal24_g10277	Cre10.g439350	g13275
g566	JG24_g5315	Mal24_g10276	Cre10.g439250	g13276
g565	JG24_g5316	Mal24_g10275	Cre10.g439200	g13277
g564	JG24_g5317	Mal24_g10274	Cre10.g439150	g13278
g563	JG24_g5318	Mal24_g10273	Cre10.g439100	g13279
g562	JG24_g5319	Mal24_g10272	Cre10.g439050	g13280
g561	JG24_g5320	Mal24_g10271	Cre10.g439000	g13281
g556	JG24_g5325	Mal24_g10268	Cre10.g438750	g13287
g555	JG24_g5326	Mal24_g10267	Cre10.g438700	g13288
g554	JG24_g5327	Mal24_g10266	Cre10.g438650	g13289
g553	JG24_g5329	Mal24_g10264	Cre10.g438550	g13290
g552	JG24_g5330	Mal24_g10263	Cre10.g438500	g13291
g548	JG24_g5335	Mal24_g10258	Cre10.g438100	g13297
g547	JG24_g5337	Mal24_g10257	Cre10.g438050	g13298
g545	JG24_g5339	Mal24_g10255	Cre10.g437950	g13300
g534	JG24_g5363	Mal24_g10241	Cre10.g437250	g13310
g532	JG24_g5366	Mal24_g10239	Cre10.g437150	g13312
g531	JG24_g5367	Mal24_g10238	Cre10.g437100	g13313
g530	JG24_g5368	Mal24_g10237	Cre10.g437050	g13314
g526	JG24_g5372	Mal24_g10233	Cre10.g436850	g13317
g525	JG24_g5373	Mal24_g10232	Cre10.g436800	g13318
g519	JG24_g5377	Mal24_g10228	Cre10.g436550	g13321
g518	JG24_g5378	Mal24_g10227	Cre10.g436500	g13322
g515	JG24_g5381	Mal24_g10224	Cre10.g436350	g13325
g514	JG24_g5382	Mal24_g10223	Cre10.g436300	g13326
g510	JG24_g5385	Mal24_g10220	Cre10.g436150	g13329
g509	JG24_g5386	Mal24_g10219	Cre10.g436100	g13330
g507	JG24_g5388	Mal24_g10217	Cre10.g436050	g13332
g506	JG24_g5389	Mal24_g10216	Cre10.g436000	g13333
g503	JG24_g5392	Mal24_g10213	Cre10.g435850	g13336
g502	JG24_g5393	Mal24_g10212	Cre10.g435800	g13337
g499	JG24_g5398	Mal24_g10209	Cre10.g435600	g13340
g498	JG24_g5399	Mal24_g10208	Cre10.g435550	g13341
g497	JG24_g5400	Mal24_g10207	Cre10.g435500	g13342
g494	JG24_g5403	Mal24_g10204	Cre10.g435350	g13345
g491	JG24_g5406	Mal24_g10201	Cre10.g434900	g13348
g489	JG24_g5408	Mal24_g10199	Cre10.g434800	g13350
g488	JG24_g5409	Mal24_g10198	Cre10.g434750	g13351
g485	JG24_g5413	Mal24_g10195	Cre10.g434600	g13355
g477	JG24_g5419	Mal24_g10189	Cre10.g434250	g13360
g476	JG24_g5420	Mal24_g10188	Cre10.g434200	g13362
g474	JG24_g5422	Mal24_g10186	Cre10.g433950	g13364
g472	JG24_g5423	Mal24_g10184	Cre10.g433900	g13365
g470	JG24_g5427	Mal24_g10182	Cre10.g433800	g13368
g468	JG24_g5428	Mal24_g10179	Cre10.g433750	g13369
g465	JG24_g5431	Mal24_g10176	Cre10.g433600	g13372
g460	JG24_g5437	Mal24_g9030	Cre10.g433450	g13375
g461	JG24_g5438	Mal24_g9029	Cre10.g433400	g13376
g463	JG24_g5440	Mal24_g9027	Cre10.g433300	g13378
g455	JG24_g5444	Mal24_g9035	Cre10.g433100	g13383
g454	JG24_g5445	Mal24_g9036	Cre10.g433050	g13385
g453	JG24_g5446	Mal24_g9037	Cre10.g433000	g13386
g451	JG24_g5448	Mal24_g9039	Cre10.g432900	g13387
g450	JG24_g5449	Mal24_g9040	Cre10.g432850	g13388
g448	JG24_g5450	Mal24_g9042	Cre10.g432800	g13389
g447	JG24_g5451	Mal24_g9043	Cre10.g432770	g13390
g444	JG24_g5453	Mal24_g9046	Cre10.g432650	g13393
g442	JG24_g5455	Mal24_g9048	Cre10.g432550	g13395
g441	JG24_g5456	Mal24_g9049	Cre10.g432500	g13396
g435	JG24_g5462	Mal24_g9055	Cre10.g432200	g13402
g431	JG24_g5466	Mal24_g9058	Cre10.g432050	g13404
g430	JG24_g5467	Mal24_g9059	Cre10.g432000	g13405
g429	JG24_g5468	Mal24_g9060	Cre10.g431950	g13406
g428	JG24_g5469	Mal24_g9061	Cre10.g431900	g13407
g427	JG24_g5470	Mal24_g9063	Cre10.g431850	g13408
g426	JG24_g5471	Mal24_g9064	Cre10.g431800	g13409
g423	JG24_g5474	Mal24_g9067	Cre10.g431650	g13411
g422	JG24_g5475	Mal24_g9068	Cre10.g801119	g13412
g421	JG24_g5476	Mal24_g9069	Cre10.g431550	g13413
g418	JG24_g5479	Mal24_g9072	Cre10.g431400	g13416
g417	JG24_g5484	Mal24_g9073	Cre10.g431350	g13417
g414	JG24_g5486	Mal24_g9076	Cre10.g431150	g13420
g408	JG24_g5498	Mal24_g9085	Cre10.g430800	g12257
g404	JG24_g5503	Mal24_g9089	Cre10.g430501	g12261
g403	JG24_g5505	Mal24_g9090	Cre10.g430450	g12262
g402	JG24_g5506	Mal24_g9091	Cre10.g430400	g12263
g401	JG24_g5507	Mal24_g9092	Cre10.g430350	g12264
g400	JG24_g5508	Mal24_g9093	Cre10.g430300	g12265
g399	JG24_g5509	Mal24_g9094	Cre10.g430250	g12266
g398	JG24_g5510	Mal24_g9095	Cre10.g430200	g12267
g397	JG24_g5511	Mal24_g9096	Cre10.g430150	g12268
g396	JG24_g5512	Mal24_g9097	Cre10.g430100	g12269
g395	JG24_g5513	Mal24_g9098	Cre10.g430050	g12271
g9883	JG24_g5516	Mal24_g9100	Cre10.g429880	g12273
g9884	JG24_g5517	Mal24_g9101	Cre10.g429850	g12274
g5981	JG24_g5523	Mal24_g9107	Cre10.g429600	g12283
g5974	JG24_g5533	Mal24_g9120	Cre10.g429150	g12293
g5973	JG24_g5534	Mal24_g9121	Cre10.g429100	g12294
g5968	JG24_g5542	Mal24_g9129	Cre10.g428900	g12301
g5961	JG24_g5552	Mal24_g9137	Cre10.g428678	g12307
g5960	JG24_g5553	Mal24_g9138	Cre10.g428664	g12308
g5959	JG24_g5554	Mal24_g9139	Cre10.g428650	g12309
g5956	JG24_g5557	Mal24_g9147	Cre10.g428500	g12312
g5950	JG24_g5563	Mal24_g9153	Cre10.g428200	g12319
g5949	JG24_g5564	Mal24_g9154	Cre10.g428150	g12320
g5948	JG24_g5565	Mal24_g9155	Cre10.g428100	g12321
g5939	JG24_g5573	Mal24_g9163	Cre10.g427700	g12329
g5937	JG24_g5575	Mal24_g9165	Cre10.g427600	g12331
g5936	JG24_g5576	Mal24_g9166	Cre10.g427550	g12332
g5935	JG24_g5577	Mal24_g9167	Cre10.g427500	g12333
g5933	JG24_g5579	Mal24_g9169	Cre10.g427350	g12334
g5931	JG24_g5581	Mal24_g9171	Cre10.g427250	g12336
g5929	JG24_g5584	Mal24_g9173	Cre10.g427150	g12338
g5928	JG24_g5585	Mal24_g9174	Cre10.g427050	g12339
g5927	JG24_g5586	Mal24_g9175	Cre10.g427000	g12340
g5919	JG24_g5594	Mal24_g9184	Cre10.g426750	g12346
g5917	JG24_g5595	Mal24_g9185	Cre10.g426700	g12347
g5910	JG24_g5598	Mal24_g9188	Cre10.g426600	g12350
g5907	JG24_g5601	Mal24_g9191	Cre10.g426400	g12353
g5906	JG24_g5602	Mal24_g9192	Cre10.g426350	g12354
g5903	JG24_g5605	Mal24_g9199	Cre10.g426250	g12357
g5899	JG24_g5614	Mal24_g9204	Cre10.g426000	g12361
g5896	JG24_g5616	Mal24_g9207	Cre10.g425900	g12363
g5895	JG24_g5617	Mal24_g9208	Cre10.g425850	g12364
g5894	JG24_g5618	Mal24_g9209	Cre10.g425800	g12365
g5893	JG24_g5619	Mal24_g9210	Cre10.g425750	g12366
g5891	JG24_g5621	Mal24_g9212	Cre10.g425650	g12368
g5887	JG24_g5629	Mal24_g9219	Cre10.g425450	g12373
g5884	JG24_g5632	Mal24_g9222	Cre10.g425300	g12376
g5876	JG24_g5639	Mal24_g9228	Cre10.g424900	g12382
g5872	JG24_g5642	Mal24_g9231	Cre10.g424750	g12386
g5870	JG24_g5645	Mal24_g9234	Cre10.g424600	g12388
g5868	JG24_g5648	Mal24_g9235	Cre10.g424550	g12389
g5866	JG24_g5649	Mal24_g9236	Cre10.g424500	g12390
g5865	JG24_g5650	Mal24_g9237	Cre10.g424450	g12391
g5864	JG24_g5651	Mal24_g9238	Cre10.g424400	g12392
g5861	JG24_g5678	Mal24_g9242	Cre10.g424300	g12394
g5860	JG24_g5679	Mal24_g9243	Cre10.g424250	g12395
g5859	JG24_g5680	Mal24_g9244	Cre10.g424200	g12396
g5858	JG24_g5681	Mal24_g9245	Cre10.g424150	g12397
g5857	JG24_g5682	Mal24_g9246	Cre10.g424100	g12398
g5854	JG24_g5685	Mal24_g9249	Cre10.g423950	g12404
g5849	JG24_g5695	Mal24_g9255	Cre10.g423650	g12411
g5848	JG24_g5696	Mal24_g9256	Cre10.g423600	g12412
g5847	JG24_g5697	Mal24_g9257	Cre10.g423550	g12413
g5846	JG24_g5698	Mal24_g9258	Cre10.g423500	g12414
g5844	JG24_g5701	Mal24_g9263	Cre10.g423400	g12417
g5843	JG24_g5702	Mal24_g9264	Cre10.g423350	g12418
g4189	JG24_g5704	Mal24_g9267	Cre10.g423250	g12420
g4192	JG24_g5709	Mal24_g9288	Cre10.g422850	g12424
g4200	JG24_g5711	Mal24_g9286	Cre10.g422750	g12426
g4201	JG24_g5712	Mal24_g9285	Cre10.g422700	g12427
g4203	JG24_g5714	Mal24_g9284	Cre10.g422600	g12429
g4206	JG24_g5719	Mal24_g9281	Cre10.g422450	g12439
g4208	JG24_g5724	Mal24_g9279	Cre10.g422300	g12442
g4210	JG24_g5727	Mal24_g9277	Cre10.g422201	g12444
g4211	JG24_g5728	Mal24_g9276	Cre10.g422150	g12446
g4215	JG24_g5733	Mal24_g9273	Cre10.g422000	g12449
g4216	JG24_g5734	Mal24_g9272	Cre10.g421950	g12450
g4218	JG24_g5737	Mal24_g9293	Cre10.g421850	g12453
g4219	JG24_g5738	Mal24_g9294	Cre10.g421800	g12454
g4221	JG24_g5740	Mal24_g9296	Cre10.g421700	g12456
g4222	JG24_g5742	Mal24_g9297	Cre10.g421650	g12457
g4223	JG24_g5743	Mal24_g9299	Cre10.g421600	g12458
g4229	JG24_g5749	Mal24_g9305	Cre10.g421350	g12464
g4230	JG24_g5752	Mal24_g9306	Cre10.g421300	g12465
g4231	JG24_g5753	Mal24_g9307	Cre10.g421250	g12466
g4236	JG24_g5757	Mal24_g9311	Cre10.g421079	g12471
g4246	JG24_g5767	Mal24_g9321	Cre10.g420750	g12486
g4250	JG24_g5772	Mal24_g9327	Cre10.g420550	g12490
g4252	JG24_g5774	Mal24_g9330	Cre10.g420500	g12491
g9554	JG24_g5778	Mal24_g9334	Cre10.g420350	g12494
