CINC	CREN	CSCH	MALA	JG05
	Cre16.g683953		Mal24_g13917	
	Cre16.g683900		Mal24_g13919	
	Cre16.g683800		Mal24_g13920	
	Cre16.g683750		Mal24_g13921	
	Cre16.g683700		Mal24_g13922	
	Cre16.g683650		Mal24_g13923	
	Cre16.g683550		Mal24_g13925	
	Cre16.g683500		Mal24_g13926	
	Cre16.g683450		Mal24_g13927	
	Cre16.g683400		Mal24_g13928	
	Cre16.g683350		Mal24_g13929	
	Cre16.g683300		Mal24_g13930	
	Cre16.g683250		Mal24_g13931	
	Cre16.g683200		Mal24_g13932	
	Cre16.g683150		Mal24_g13933	
	Cre16.g683100		Mal24_g13934	
	Cre16.g683050		Mal24_g13935	
	Cre16.g683000		Mal24_g13936	
	Cre16.g682950		Mal24_g13937	
	Cre16.g682900		Mal24_g13938	
	Cre16.g682850		Mal24_g13939	
	Cre16.g682800		Mal24_g13940	
	Cre16.g682750		Mal24_g13941	
	Cre16.g682700		Mal24_g13942	
	Cre16.g682650		Mal24_g13943	
	Cre16.g682600		Mal24_g13944	
	Cre16.g682550		Mal24_g13945	
	Cre12.g496950		Mal24_g13946	
	Cre12.g497000		Mal24_g13947	
	Cre12.g497101		Mal24_g13948	
	Cre12.g497100		Mal24_g13949	
	Cre12.g497200		Mal24_g13950	
	Cre12.g497250		Mal24_g13951	
	Cre12.g497300		Mal24_g13952	
	Cre12.g497350		Mal24_g13953	
	Cre12.g497400		Mal24_g13954	
	Cre12.g497450		Mal24_g13955	
	Cre12.g497500		Mal24_g13956	
	Cre12.g497652		Mal24_g13957	
	Cre12.g497650		Mal24_g13958	
	Cre12.g497700		Mal24_g13959	
	Cre12.g497750		Mal24_g13960	
	Cre12.g497800		Mal24_g13961	
	Cre12.g497850		Mal24_g13962	
	Cre12.g497900		Mal24_g13963	
	Cre16.g801876		Mal24_g13967	
	Cre12.g497950		Mal24_g13972	
	Cre12.g498000		Mal24_g13974	
	Cre12.g498050		Mal24_g13975	
	Cre12.g498100		Mal24_g13976	
	Cre12.g498150		Mal24_g13977	
	Cre12.g498200		Mal24_g13978	
	Cre12.g498250		Mal24_g13979	
	Cre12.g498300		Mal24_g13980	
	Cre12.g498350		Mal24_g13981	
	Cre12.g498400		Mal24_g13982	
	Cre12.g498450		Mal24_g13983	
	Cre12.g498500		Mal24_g13984	
	Cre12.g498550		Mal24_g13987	
	Cre12.g498650		Mal24_g13989	
	Cre12.g498700		Mal24_g13990	
	Cre12.g498750		Mal24_g13991	
	Cre12.g498850		Mal24_g13992	
	Cre12.g498900		Mal24_g13993	
	Cre12.g498950		Mal24_g13994	
	Cre12.g499000		Mal24_g13995	
	Cre12.g499100		Mal24_g13996	
	Cre12.g499250		Mal24_g13997	
	Cre12.g499300		Mal24_g13998	
	Cre12.g499350		Mal24_g13999	
	Cre12.g499400		Mal24_g14000	
	Cre12.g499450		Mal24_g14001	
	Cre12.g499451		Mal24_g14002	
	Cre12.g499500		Mal24_g14003	
	Cre12.g499600		Mal24_g14004	
	Cre12.g499650		Mal24_g14005	
	Cre12.g499700		Mal24_g14006	
	Cre12.g499750		Mal24_g14007	
	Cre12.g499800		Mal24_g14009	
	Cre12.g499850		Mal24_g14010	
	Cre12.g499900		Mal24_g14011	
	Cre12.g499950		Mal24_g14012	
	Cre12.g500000		Mal24_g14013	
	Cre12.g500050		Mal24_g14014	
	Cre12.g500100		Mal24_g14015	
	Cre12.g500150		Mal24_g14016	
	Cre12.g500200		Mal24_g14017	
	Cre12.g500250		Mal24_g14019	
	Cre12.g500350		Mal24_g14020	
	Cre12.g500400		Mal24_g14021	
	Cre12.g500450		Mal24_g14022	
	Cre12.g500500		Mal24_g14023	
	Cre12.g500550		Mal24_g14024	
	Cre12.g500600		Mal24_g14028	
	Cre12.g500650		Mal24_g14029	
	Cre12.g500700		Mal24_g14030	
	Cre12.g500715		Mal24_g14031	
	Cre12.g801389		Mal24_g14032	
	Cre12.g500850		Mal24_g14033	
	Cre12.g500900		Mal24_g14034	
	Cre12.g500950		Mal24_g14035	
	Cre12.g501000		Mal24_g14036	
	Cre12.g501050		Mal24_g14037	
	Cre12.g501100		Mal24_g14038	
	Cre12.g501150		Mal24_g14039	
	Cre12.g501200		Mal24_g14040	
	Cre12.g501250		Mal24_g14041	
	Cre12.g501351		Mal24_g14042	
	Cre12.g501350		Mal24_g14043	
	Cre12.g501403		Mal24_g14044	
	Cre12.g501450		Mal24_g14045	
	Cre12.g801387		Mal24_g14046	
	Cre12.g501550		Mal24_g14047	
	Cre12.g501600		Mal24_g14048	
	Cre12.g501702		Mal24_g14049	
	Cre12.g501750		Mal24_g14050	
	Cre12.g501800		Mal24_g14051	
	Cre12.g501850		Mal24_g14052	
	Cre12.g501900		Mal24_g14053	
	Cre12.g501950		Mal24_g14054	
	Cre12.g502000		Mal24_g14055	
	Cre12.g502050		Mal24_g14056	
	Cre12.g502150		Mal24_g14058	
	Cre12.g502200		Mal24_g14060	
	Cre12.g502250		Mal24_g14062	
	Cre12.g502300		Mal24_g14063	
	Cre12.g502350		Mal24_g14064	
	Cre12.g502400		Mal24_g14065	
	Cre12.g502500		Mal24_g14067	
	Cre12.g502550		Mal24_g14068	
	Cre12.g502600		Mal24_g14069	
	Cre12.g502650		Mal24_g14070	
	Cre12.g502700		Mal24_g14071	
	Cre12.g502750		Mal24_g14072	
	Cre12.g502800		Mal24_g14073	
	Cre12.g502901		Mal24_g14074	
	Cre12.g502950		Mal24_g14075	
	Cre12.g503000		Mal24_g14076	
	Cre12.g503050		Mal24_g14077	
	Cre12.g503100		Mal24_g14079	
	Cre12.g503150		Mal24_g14080	
	Cre12.g503200		Mal24_g14081	
	Cre12.g503250		Mal24_g14082	
	Cre12.g503300		Mal24_g14083	
	Cre12.g503350		Mal24_g14084	
	Cre12.g503400		Mal24_g14085	
	Cre12.g503450		Mal24_g14086	
	Cre12.g503500		Mal24_g14087	
	Cre12.g503550		Mal24_g14088	
	Cre12.g503600		Mal24_g14089	
	Cre12.g503650		Mal24_g14090	
	Cre12.g503750		Mal24_g14091	
	Cre12.g503800		Mal24_g14092	
	Cre12.g503850		Mal24_g14093	
	Cre12.g503900		Mal24_g14094	
	Cre12.g503950		Mal24_g14095	
	Cre12.g504000		Mal24_g14096	
	Cre12.g504050		Mal24_g14097	
	Cre12.g504100		Mal24_g14100	
	Cre12.g504150		Mal24_g14101	
	Cre12.g504200		Mal24_g14102	
	Cre12.g504250		Mal24_g14103	
	Cre12.g504300		Mal24_g14104	
	Cre12.g504400		Mal24_g14105	
	Cre12.g504450		Mal24_g14107	
	Cre12.g504900		Mal24_g14116	
	Cre12.g504950		Mal24_g14117	
	Cre12.g505000		Mal24_g14118	
	Cre12.g505050		Mal24_g14120	
	Cre12.g505100		Mal24_g14121	
	Cre12.g505150		Mal24_g14122	
	Cre12.g505200		Mal24_g14123	
	Cre12.g505250		Mal24_g14124	
	Cre12.g505300		Mal24_g14125	
	Cre12.g505350		Mal24_g14126	
	Cre12.g505400		Mal24_g14127	
	Cre06.g250050		Mal24_g14128	
	Cre12.g505650		Mal24_g14135	
	Cre12.g505700		Mal24_g14136	
	Cre12.g505750		Mal24_g14137	
	Cre12.g505800		Mal24_g14138	
	Cre12.g505850		Mal24_g14139	
	Cre12.g505900		Mal24_g14140	
	Cre12.g505950		Mal24_g14141	
	Cre12.g506000		Mal24_g14142	
	Cre12.g506050		Mal24_g14143	
	Cre12.g506250		Mal24_g14145	
	Cre12.g506400		Mal24_g14148	
	Cre12.g506550		Mal24_g14151	
	Cre12.g506600		Mal24_g14152	
	Cre12.g506650		Mal24_g14153	
	Cre12.g506700		Mal24_g14154	
	Cre12.g801381		Mal24_g14155	
	Cre12.g506851		Mal24_g14156	
	Cre12.g506850		Mal24_g14157	
	Cre12.g506900		Mal24_g14158	
	Cre12.g507000		Mal24_g14159	
	Cre12.g507051		Mal24_g14160	
	Cre12.g507050		Mal24_g14161	
	Cre12.g507150		Mal24_g14162	
	Cre12.g507200		Mal24_g14163	
	Cre12.g507250		Mal24_g14164	
	Cre12.g507300		Mal24_g14165	
	Cre12.g507350		Mal24_g14166	
	Cre12.g507400		Mal24_g14167	
	Cre12.g507450		Mal24_g14168	
	Cre12.g507500		Mal24_g14170	
	Cre12.g507559		Mal24_g14172	
	Cre12.g507558		Mal24_g14173	
	Cre12.g507556		Mal24_g14175	
	Cre12.g507550		Mal24_g14176	
	Cre12.g507600		Mal24_g14177	
	Cre12.g507650		Mal24_g14178	
	Cre12.g507700		Mal24_g14179	
	Cre12.g507750		Mal24_g14180	
	Cre12.g507800		Mal24_g14181	
	Cre12.g507909		Mal24_g14184	
	Cre12.g507950		Mal24_g14185	
	Cre12.g508000		Mal24_g14186	
	Cre12.g508050		Mal24_g14187	
	Cre12.g508100		Mal24_g14188	
	Cre12.g508150		Mal24_g14189	
	Cre12.g508200		Mal24_g14190	
	Cre12.g508250		Mal24_g14191	
	Cre12.g508300		Mal24_g14193	
	Cre12.g508350		Mal24_g14194	
	Cre12.g801377		Mal24_g14195	
	Cre12.g508450		Mal24_g14196	
	Cre08.g383750		Mal24_g14197	
	Cre12.g508500		Mal24_g14198	
	Cre12.g508550		Mal24_g14199	
	Cre12.g508644		Mal24_g14200	
	Cre12.g508650		Mal24_g14201	
	Cre12.g508700		Mal24_g14203	
	Cre12.g508750		Mal24_g14204	
	Cre12.g508853		Mal24_g14205	
	Cre12.g508852		Mal24_g14206	
	Cre12.g508850		Mal24_g14207	
	Cre12.g508900		Mal24_g14208	
	Cre03.g176450		Mal24_g14209	
	Cre12.g509000		Mal24_g14210	
	Cre12.g509050		Mal24_g14211	
	Cre12.g509100		Mal24_g14212	
	Cre12.g509150		Mal24_g14213	
	Cre12.g509200		Mal24_g14214	
	Cre12.g509250		Mal24_g14215	
	Cre12.g509300		Mal24_g14216	
	Cre12.g509350		Mal24_g14217	
	Cre12.g509400		Mal24_g14218	
	Cre12.g509450		Mal24_g14219	
	Cre12.g509500		Mal24_g14220	
	Cre12.g509550		Mal24_g14221	
	Cre12.g509600		Mal24_g14222	
	Cre12.g509650		Mal24_g14223	
	Cre12.g509700		Mal24_g14224	
	Cre12.g509750		Mal24_g14225	
	Cre12.g509800		Mal24_g14226	
	Cre12.g509850		Mal24_g14227	
	Cre12.g509900		Mal24_g14228	
	Cre12.g509950		Mal24_g14229	
	Cre12.g510000		Mal24_g14230	
	Cre12.g510034		Mal24_g14231	
	Cre12.g510050		Mal24_g14232	
	Cre12.g510100		Mal24_g14234	
	Cre12.g510150		Mal24_g14235	
	Cre08.g800944		Mal24_g14236	
	Cre12.g510200		Mal24_g14237	
	Cre12.g510250		Mal24_g14240	
	Cre12.g510300		Mal24_g14241	
	Cre12.g801374		Mal24_g14242	
	Cre12.g510400		Mal24_g14243	
	Cre12.g510450		Mal24_g14244	
	Cre12.g510500		Mal24_g14245	
	Cre12.g510600		Mal24_g14246	
	Cre12.g510650		Mal24_g14247	
	Cre12.g510750		Mal24_g14248	
	Cre12.g510800		Mal24_g14249	
	Cre12.g510850		Mal24_g14250	
	Cre12.g510900		Mal24_g14251	
	Cre12.g510950		Mal24_g14252	
	Cre12.g511000		Mal24_g14253	
	Cre12.g511050		Mal24_g14254	
	Cre12.g511100		Mal24_g14255	
	Cre12.g511150		Mal24_g14256	
	Cre12.g511200		Mal24_g14257	
	Cre12.g511250		Mal24_g14258	
	Cre12.g511300		Mal24_g14259	
	Cre12.g511350		Mal24_g14260	
	Cre12.g511400		Mal24_g14261	
	Cre12.g511600		Mal24_g14262	
	Cre12.g511640		Mal24_g14263	
	Cre12.g511650		Mal24_g14264	
	Cre12.g511700		Mal24_g14265	
	Cre12.g511750		Mal24_g14266	
	Cre12.g511800		Mal24_g14267	
	Cre12.g511850		Mal24_g14268	
	Cre12.g511900		Mal24_g14269	
	Cre12.g511950		Mal24_g14270	
	Cre12.g512000		Mal24_g14271	
	Cre12.g512200		Mal24_g14272	
	Cre12.g512250		Mal24_g14273	
	Cre12.g512300		Mal24_g14274	
	Cre12.g512400		Mal24_g14275	
	Cre12.g512450		Mal24_g14278	
	Cre12.g512500		Mal24_g14279	
	Cre12.g512550		Mal24_g14280	
	Cre12.g512600		Mal24_g14281	
	Cre12.g512650		Mal24_g14282	
	Cre12.g512700		Mal24_g14283	
	Cre12.g512750		Mal24_g14284	
	Cre12.g499301		Mal24_g14285	
	Cre12.g485750		Mal24_g14286	
	Cre12.g485800		Mal24_g14287	
	Cre12.g485850		Mal24_g14288	
	Cre12.g485950		Mal24_g14289	
	Cre12.g486050		Mal24_g14291	
	Cre12.g486100		Mal24_g14292	
	Cre12.g486209		Mal24_g14293	
	Cre12.g486208		Mal24_g14294	
	Cre12.g486250		Mal24_g14296	
	Cre12.g486300		Mal24_g14298	
	Cre12.g486350		Mal24_g14299	
	Cre12.g486400		Mal24_g14300	
	Cre12.g486551		Mal24_g14301	
	Cre12.g486550		Mal24_g14302	
	Cre12.g486600		Mal24_g14303	
	Cre12.g486650		Mal24_g14304	
	Cre12.g486702		Mal24_g14305	
	Cre12.g486700		Mal24_g14306	
	Cre12.g486750		Mal24_g14309	
	Cre09.g399650		Mal24_g14310	
	Cre12.g486850		Mal24_g14312	
	Cre12.g486851		Mal24_g14313	
	Cre12.g486900		Mal24_g14314	
	Cre12.g486950		Mal24_g14315	
	Cre12.g487000		Mal24_g14316	
	Cre12.g487050		Mal24_g14317	
	Cre12.g487101		Mal24_g14318	
	Cre12.g487100		Mal24_g14320	
	Cre12.g487150		Mal24_g14321	
	Cre12.g487200		Mal24_g14322	
	Cre12.g487250		Mal24_g14323	
	Cre12.g487350		Mal24_g14324	
	Cre12.g487400		Mal24_g14325	
	Cre12.g487450		Mal24_g14326	
	Cre12.g487500		Mal24_g14327	
	Cre12.g487601		Mal24_g14328	
	Cre12.g487600		Mal24_g14329	
	Cre12.g487650		Mal24_g14331	
	Cre12.g487700		Mal24_g14333	
	Cre12.g487800		Mal24_g14334	
	Cre12.g487850		Mal24_g14335	
	Cre12.g487900		Mal24_g14336	
	Cre12.g487950		Mal24_g14337	
	Cre12.g488000		Mal24_g14338	
	Cre12.g488050		Mal24_g14339	
	Cre12.g488100		Mal24_g14340	
	Cre12.g488150		Mal24_g14341	
	Cre12.g488173		Mal24_g14342	
	Cre12.g488250		Mal24_g14343	
	Cre12.g488350		Mal24_g14345	
	Cre12.g488400		Mal24_g14346	
	Cre12.g488500		Mal24_g14347	
	Cre12.g488550		Mal24_g14348	
	Cre12.g488600		Mal24_g14349	
	Cre12.g488750		Mal24_g14351	
	Cre12.g488800		Mal24_g14352	
	Cre12.g488850		Mal24_g14353	
	Cre12.g489000		Mal24_g14354	
	Cre12.g489050		Mal24_g14355	
	Cre12.g489153		Mal24_g14356	
	Cre12.g489150		Mal24_g14357	
	Cre12.g489200		Mal24_g14358	
	Cre12.g489250		Mal24_g14359	
	Cre12.g489300		Mal24_g14360	
	Cre12.g489350		Mal24_g14361	
	Cre12.g489400		Mal24_g14364	
	Cre12.g489450		Mal24_g14365	
	Cre12.g489500		Mal24_g14366	
	Cre12.g489550		Mal24_g14367	
	Cre12.g489600		Mal24_g14368	
	Cre12.g489650		Mal24_g14369	
	Cre12.g489700		Mal24_g14370	
	Cre12.g489750		Mal24_g14372	
	Cre12.g489800		Mal24_g14373	
	Cre12.g489850		Mal24_g14374	
	Cre12.g489900		Mal24_g14375	
	Cre12.g489950		Mal24_g14376	
	Cre12.g490000		Mal24_g14377	
	Cre12.g490050		Mal24_g14378	
	Cre12.g490100		Mal24_g14379	
	Cre12.g490150		Mal24_g14380	
	Cre12.g490200		Mal24_g14381	
	Cre12.g490250		Mal24_g14382	
	Cre12.g490350		Mal24_g14386	
	Cre12.g490500		Mal24_g14390	
	Cre12.g490550		Mal24_g14391	
	Cre12.g490600		Mal24_g14392	
	Cre12.g490650		Mal24_g14393	
	Cre12.g490700		Mal24_g14394	
	Cre12.g490750		Mal24_g14395	
	Cre12.g490800		Mal24_g14396	
	Cre12.g490850		Mal24_g14397	
	Cre12.g491000		Mal24_g14398	
	Cre12.g491050		Mal24_g14399	
	Cre12.g491150		Mal24_g14401	
	Cre12.g491200		Mal24_g14402	
	Cre12.g491450		Mal24_g14403	
	Cre12.g491500		Mal24_g14404	
	Cre12.g491550		Mal24_g14407	
	Cre12.g801356		Mal24_g14408	
	Cre12.g492151		Mal24_g14409	
	Cre12.g492150		Mal24_g14411	
	Cre12.g492200		Mal24_g14412	
	Cre12.g492250		Mal24_g14413	
	Cre12.g492300		Mal24_g14414	
	Cre12.g492350		Mal24_g14415	
	Cre12.g492450		Mal24_g14416	
	Cre12.g492550		Mal24_g14419	
	Cre12.g492600		Mal24_g14420	
	Cre12.g492650		Mal24_g14421	
	Cre12.g492700		Mal24_g14422	
	Cre12.g492750		Mal24_g14423	
	Cre12.g492851		Mal24_g14424	
	Cre12.g492850		Mal24_g14426	
	Cre12.g492900		Mal24_g14427	
	Cre12.g492950		Mal24_g14428	
	Cre12.g493000		Mal24_g14429	
	Cre12.g493050		Mal24_g14432	
	Cre12.g493100		Mal24_g14433	
	Cre12.g493150		Mal24_g14434	
	Cre12.g493250		Mal24_g14435	
	Cre12.g493350		Mal24_g14436	
	Cre12.g493400		Mal24_g14437	
	Cre12.g493450		Mal24_g14438	
	Cre12.g493500		Mal24_g14439	
	Cre12.g493550		Mal24_g14441	
	Cre12.g493600		Mal24_g14442	
	Cre12.g493700		Mal24_g14444	
	Cre06.g273400		Mal24_g14445	
	Cre12.g493950		Mal24_g14446	
	Cre12.g494000		Mal24_g14447	
	Cre12.g494050		Mal24_g14448	
	Cre12.g494100		Mal24_g14449	
	Cre12.g494250		Mal24_g14455	
	Cre12.g494252		Mal24_g14456	
	Cre12.g494200		Mal24_g14457	
	Cre12.g494300		Mal24_g14458	
	Cre12.g494350		Mal24_g14459	
	Cre12.g494400		Mal24_g14460	
	Cre12.g494450		Mal24_g14461	
	Cre12.g494500		Mal24_g14462	
	Cre12.g494550		Mal24_g14464	
	Cre12.g494650		Mal24_g14465	
	Cre12.g494750		Mal24_g14467	
	Cre12.g494800		Mal24_g14468	
	Cre12.g494850		Mal24_g14469	
	Cre12.g494900		Mal24_g14470	
	Cre12.g495000		Mal24_g14472	
	Cre12.g495050		Mal24_g14473	
	Cre12.g495100		Mal24_g14474	
	Cre12.g495175		Mal24_g14475	
	Cre12.g495250		Mal24_g14476	
	Cre12.g495300		Mal24_g14477	
	Cre12.g495350		Mal24_g14478	
	Cre12.g495500		Mal24_g14479	
	Cre12.g495550		Mal24_g14480	
	Cre06.g300933		Mal24_g14482	
	Cre12.g495600		Mal24_g14483	
	Cre12.g495650		Mal24_g14484	
	Cre12.g495701		Mal24_g14485	
	Cre12.g801343		Mal24_g14486	
	Cre12.g495800		Mal24_g14487	
	Cre12.g495850		Mal24_g14490	
	Cre12.g495900		Mal24_g14491	
	Cre12.g495950		Mal24_g14492	
	Cre12.g495951		Mal24_g14493	
	Cre12.g485600		Mal24_g14494	
	Cre12.g485550		Mal24_g14495	
	Cre12.g485500		Mal24_g14496	
	Cre12.g485400		Mal24_g14497	
	Cre12.g485300		Mal24_g14500	
	Cre12.g485250		Mal24_g14502	
	Cre12.g485200		Mal24_g14503	
	Cre12.g485150		Mal24_g14504	
	Cre12.g485050		Mal24_g14505	
	Cre12.g485000		Mal24_g14506	
	Cre12.g484950		Mal24_g14507	
	Cre12.g484900		Mal24_g14508	
	Cre12.g484800		Mal24_g14509	
	Cre12.g484750		Mal24_g14510	
	Cre12.g484700		Mal24_g14511	
	Cre12.g484650		Mal24_g14512	
	Cre12.g484600		Mal24_g14513	
	Cre12.g484550		Mal24_g14514	
	Cre12.g484500		Mal24_g14515	
	Cre12.g484400		Mal24_g14516	
	Cre12.g484350		Mal24_g14518	
	Cre12.g484300		Mal24_g14519	
	Cre12.g484250		Mal24_g14520	
	Cre12.g484200		Mal24_g14521	
	Cre12.g484150		Mal24_g14522	
	Cre12.g484100		Mal24_g14523	
	Cre12.g484050		Mal24_g14524	
	Cre12.g484000		Mal24_g14525	
	Cre12.g483950		Mal24_g14526	
	Cre12.g483900		Mal24_g14527	
	Cre12.g483850		Mal24_g14528	
	Cre12.g483800		Mal24_g14529	
	Cre12.g483750		Mal24_g14530	
	Cre12.g483720		Mal24_g14531	
	Cre12.g483700		Mal24_g14532	
	Cre12.g483650		Mal24_g14533	
	Cre12.g483600		Mal24_g14535	
	Cre12.g483550		Mal24_g14536	
	Cre12.g483500		Mal24_g14537	
	Cre11.g479450		Mal24_g14542	
	Cre11.g479500		Mal24_g14543	
	Cre11.g479550		Mal24_g14544	
	Cre11.g479600		Mal24_g14546	
	Cre11.g479650		Mal24_g14547	
	Cre11.g479700		Mal24_g14548	
	Cre11.g479750		Mal24_g14550	
	Cre11.g479850		Mal24_g14555	
	Cre11.g479900		Mal24_g14556	
	Cre11.g479950		Mal24_g14557	
	Cre11.g480000		Mal24_g14558	
	Cre11.g480060		Mal24_g14559	
	Cre11.g480079		Mal24_g14560	
	Cre11.g480150		Mal24_g14561	
	Cre11.g480200		Mal24_g14562	
	Cre11.g480250		Mal24_g14566	
	Cre11.g480300		Mal24_g14567	
	Cre11.g480350		Mal24_g14568	
	Cre11.g480451		Mal24_g14571	
	Cre11.g480551		Mal24_g14573	
	Cre11.g480600		Mal24_g14574	
	Cre11.g480650		Mal24_g14575	
	Cre11.g480700		Mal24_g14576	
	Cre11.g480750		Mal24_g14577	
	Cre11.g480800		Mal24_g14578	
	Cre11.g480851		Mal24_g14579	
	Cre11.g480900		Mal24_g14580	
	Cre11.g480950		Mal24_g14581	
	Cre11.g481000		Mal24_g14583	
	Cre11.g481093		Mal24_g14585	
	Cre11.g481104		Mal24_g14586	
	Cre11.g481115		Mal24_g14587	
	Cre11.g481126		Mal24_g14588	
	Cre11.g481200		Mal24_g14590	
	Cre11.g481250		Mal24_g14591	
	Cre11.g481400		Mal24_g14594	
	Cre11.g481450		Mal24_g14595	
	Cre11.g481500		Mal24_g14596	
	Cre11.g481550		Mal24_g14597	
	Cre05.g800560		Mal24_g14598	
	Cre11.g481600		Mal24_g14600	
	Cre11.g481650		Mal24_g14601	
	Cre11.g481700		Mal24_g14602	
	Cre11.g481750		Mal24_g14604	
	Cre11.g481800		Mal24_g14605	
	Cre11.g481866		Mal24_g14612	
	Cre11.g481900		Mal24_g14614	
	Cre16.g666576		Mal24_g14622	
	Cre16.g666550		Mal24_g14623	
	Cre16.g666500		Mal24_g14624	
	Cre16.g666400		Mal24_g14627	
	Cre16.g666334		Mal24_g14628	
	Cre16.g666301		Mal24_g14629	
	Cre16.g666300		Mal24_g14630	
	Cre16.g666250		Mal24_g14631	
	Cre16.g666200		Mal24_g14632	
	Cre16.g666150		Mal24_g14633	
	Cre16.g666100		Mal24_g14634	
	Cre16.g666050		Mal24_g14635	
	Cre16.g666000		Mal24_g14636	
	Cre16.g665950		Mal24_g14637	
	Cre16.g665900		Mal24_g14638	
	Cre16.g665850		Mal24_g14639	
	Cre16.g665800		Mal24_g14640	
	Cre16.g665750		Mal24_g14641	
	Cre16.g665700		Mal24_g14642	
	Cre16.g665650		Mal24_g14643	
	Cre16.g665600		Mal24_g14645	
	Cre16.g665550		Mal24_g14646	
	Cre16.g665500		Mal24_g14647	
	Cre16.g665450		Mal24_g14648	
	Cre16.g665400		Mal24_g14649	
	Cre16.g665364		Mal24_g14650	
	Cre16.g665300		Mal24_g14651	
	Cre16.g665250		Mal24_g14652	
	Cre16.g665200		Mal24_g14653	
	Cre16.g665100		Mal24_g14654	
	Cre16.g665050		Mal24_g14655	
	Cre16.g665000		Mal24_g14656	
	Cre16.g664950		Mal24_g14657	
	Cre16.g664850		Mal24_g14658	
	Cre16.g664801		Mal24_g14659	
	Cre16.g664700		Mal24_g14660	
	Cre16.g664650		Mal24_g14661	
	Cre16.g664600		Mal24_g14662	
	Cre16.g664550		Mal24_g14663	
	Cre16.g664500		Mal24_g14664	
	Cre16.g664450		Mal24_g14665	
	Cre16.g664400		Mal24_g14666	
	Cre16.g664350		Mal24_g14667	
	Cre16.g664301		Mal24_g14668	
	Cre16.g664250		Mal24_g14669	
	Cre16.g664200		Mal24_g14670	
	Cre06.g302551		Mal24_g14671	
	Cre16.g664150		Mal24_g14672	
	Cre16.g664100		Mal24_g14673	
	Cre16.g664050		Mal24_g14674	
	Cre16.g664000		Mal24_g14675	
	Cre16.g663950		Mal24_g14676	
	Cre16.g663900		Mal24_g14677	
	Cre16.g663876		Mal24_g14678	
	Cre16.g663850		Mal24_g14679	
	Cre16.g663800		Mal24_g14680	
	Cre16.g663750		Mal24_g14686	
	Cre16.g663700		Mal24_g14687	
	Cre16.g663650		Mal24_g14688	
	Cre16.g663600		Mal24_g14689	
	Cre16.g663500		Mal24_g14690	
	Cre16.g663450		Mal24_g14691	
	Cre16.g663400		Mal24_g14692	
	Cre16.g663350		Mal24_g14693	
	Cre16.g663250		Mal24_g14694	
	Cre16.g663200		Mal24_g14695	
	Cre16.g663150		Mal24_g14697	
	Cre16.g663100		Mal24_g14698	
	Cre16.g663050		Mal24_g14699	
	Cre16.g663000		Mal24_g14700	
	Cre16.g662950		Mal24_g14701	
	Cre16.g801921		Mal24_g14702	
	Cre16.g662902		Mal24_g14703	
	Cre16.g662800		Mal24_g14704	
	Cre16.g662750		Mal24_g14705	
	Cre16.g801920		Mal24_g14706	
	Cre16.g662650		Mal24_g14707	
	Cre16.g662600		Mal24_g14708	
	Cre16.g662550		Mal24_g14709	
	Cre16.g662500		Mal24_g14710	
	Cre16.g662450		Mal24_g14711	
	Cre16.g662350		Mal24_g14712	
	Cre16.g662300		Mal24_g14713	
	Cre16.g662250		Mal24_g14714	
	Cre16.g662200		Mal24_g14716	
	Cre16.g662150		Mal24_g14717	
	Cre16.g662100		Mal24_g14718	
	Cre16.g662000		Mal24_g14719	
	Cre16.g661950		Mal24_g14720	
	Cre16.g661900		Mal24_g14721	
	Cre16.g661800		Mal24_g14722	
	Cre16.g661700		Mal24_g14724	
	Cre16.g661650		Mal24_g14726	
	Cre16.g661588		Mal24_g14728	
	Cre16.g661550		Mal24_g14729	
	Cre16.g661500		Mal24_g14730	
	Cre16.g661450		Mal24_g14731	
	Cre16.g661400		Mal24_g14732	
	Cre16.g661350		Mal24_g14733	
	Cre16.g661300		Mal24_g14734	
	Cre16.g661250		Mal24_g14735	
	Cre16.g661200		Mal24_g14736	
	Cre16.g661150		Mal24_g14737	
	Cre16.g661100		Mal24_g14738	
	Cre16.g661050		Mal24_g14739	
	Cre16.g661000		Mal24_g14740	
	Cre16.g660951		Mal24_g14741	
	Cre16.g660900		Mal24_g14742	
	Cre16.g801917		Mal24_g14743	
	Cre16.g660850		Mal24_g14744	
	Cre16.g660800		Mal24_g14745	
	Cre16.g660750		Mal24_g14746	
	Cre16.g660601		Mal24_g14748	
	Cre16.g660350		Mal24_g14749	
	Cre16.g660390		Mal24_g14750	
	Cre16.g660300		Mal24_g14751	
	Cre16.g660225		Mal24_g14752	
	Cre16.g801914		Mal24_g14753	
	Cre16.g801913		Mal24_g14754	
	Cre16.g660100		Mal24_g14755	
	Cre16.g660050		Mal24_g14756	
	Cre16.g660024		Mal24_g14757	
	Cre16.g660000		Mal24_g14758	
	Cre16.g659950		Mal24_g14759	
	Cre16.g659900		Mal24_g14760	
	Cre16.g659850		Mal24_g14761	
	Cre16.g659800		Mal24_g14762	
	Cre16.g659750		Mal24_g14763	
	Cre16.g659700		Mal24_g14764	
	Cre16.g659650		Mal24_g14765	
	Cre16.g659600		Mal24_g14766	
	Cre16.g659500		Mal24_g14767	
	Cre16.g659400		Mal24_g14768	
	Cre16.g659350		Mal24_g14769	
	Cre16.g659300		Mal24_g14770	
