	CREN	CINC	CSCH	JG05	MALA
3293	Cre03.g177500	g5401	g16125	JG24_g6869	Mal24_g2367
3294	Cre03.g177550	g5400	g16126	JG24_g6870	Mal24_g2368
3295	Cre03.g177600	g5399	g16127	JG24_g6871	Mal24_g2369
3296	Cre03.g177650	g5398	g16128	JG24_g6872	Mal24_g2370
3297	Cre03.g177700	g5397		JG24_g19713	Mal24_g2372
3298	Cre03.g177700	g5397		JG24_g6874	Mal24_g2372
3299	Cre03.g177750	g5396	g16130	JG24_g6875	Mal24_g2373
3300	Cre03.g177800	g5395	g16131	JG24_g6876	Mal24_g2374
3301	Cre03.g177826		g16132		
3302	Cre03.g177850	g5393	g16133	JG24_g6878	Mal24_g2375
3303	Cre03.g177900	g5392	g16134	JG24_g6879	Mal24_g2376
3304	Cre03.g177950	g5391	g16135	JG24_g6880	Mal24_g2377
3305	Cre03.g178000	g5390	g16136	JG24_g6881	Mal24_g2378
3306	Cre03.g178014			JG24_g6882	Mal24_g2379
3307	Cre03.g178050	g5389	g16137	JG24_g6883	Mal24_g2380
3308	Cre03.g178100	g5388	g16138	JG24_g6885	Mal24_g2381
3309	Cre03.g178150	g5387	g16139	JG24_g6886	Mal24_g2382
3310	Cre03.g178250	g5385	g16141	JG24_g6888	Mal24_g2384
3311	Cre03.g178276	g5384	g16142	JG24_g6889	
3312	Cre03.g178300	g5383	g16143		Mal24_g2386
3313	Cre03.g178350	g5382	g16144	JG24_g6892	Mal24_g2387
3314	Cre03.g178400	g5380	g16145	JG24_g6893	Mal24_g2388
3315	Cre03.g178450	g5378	g16146	JG24_g6894	Mal24_g2389
3316	Cre03.g178500	g5377	g16147	JG24_g6895	Mal24_g2390
3317	Cre03.g178550	g5376	g16148	JG24_g6896	Mal24_g2392
3318	Cre03.g178600	g5375	g16149	JG24_g6897	Mal24_g2393
3319	Cre03.g178650	g5374	g16150	JG24_g6898	Mal24_g2394
3320	Cre03.g178700	g5373	g16151	JG24_g6899	Mal24_g2395
3321	Cre03.g178750	g5372	g16152	JG24_g6900	Mal24_g2397
3322	Cre03.g178850	g5371	g16155		Mal24_g2400
3323	Cre03.g178900	g5370	g16156		
3324	Cre03.g178950	g5369	g16157	JG24_g6904	Mal24_g2403
3325	Cre03.g179050		g16159	JG24_g6907	Mal24_g2406
3326	Cre03.g179100	g5365	g16160	JG24_g6908	Mal24_g2407
3327	Cre03.g179150	g5364	g16161	JG24_g6909	Mal24_g2408
3328	Cre03.g179200	g5363	g16162	JG24_g6910	Mal24_g2409
3329	Cre03.g179250	g5362	g16164	JG24_g6911	Mal24_g2410
3330	Cre03.g179300	g5361	g16165	JG24_g6912	Mal24_g2411
3331	Cre03.g179350	g5360	g16166	JG24_g6913	
3332	Cre03.g179400	g5359	g16167	JG24_g6914	Mal24_g2412
3333	Cre03.g179450		g16168	JG24_g6915	Mal24_g2413
3334	Cre03.g179500	g5357	g16169	JG24_g6916	Mal24_g2414
3335	Cre03.g179550	g5356	g16171	JG24_g6917	Mal24_g2415
3336	Cre03.g179600	g5355		JG24_g6918	Mal24_g2416
3337	Cre03.g179650		g16173		Mal24_g2417
3338	Cre03.g179700		g7900		Mal24_g14471
3339	Cre03.g179750	g5354	g16174	JG24_g6919	Mal24_g2418
3340	Cre03.g179800	g5353	g16175	JG24_g6920	Mal24_g2419
3341	Cre03.g179860		g16177	JG24_g6922	Mal24_g2421
3342	Cre03.g179901	g5347	g16179	JG24_g6924	Mal24_g2423
3343	Cre03.g179921	g5346	g16180	JG24_g6925	
3344	Cre03.g179941	g5345	g16181	JG24_g6926	Mal24_g2425
3345	Cre03.g179961	g5344	g16182	JG24_g6927	Mal24_g2426
3346	Cre03.g180000	g5343	g3087	JG24_g6928	Mal24_g2427
3347	Cre03.g180017			JG24_g6929	Mal24_g2428
3348	Cre03.g180050	g5341	g3085	JG24_g6930	Mal24_g2429
3349	Cre03.g180100	g5340	g3084	JG24_g6931	Mal24_g2430
3350	Cre03.g180151	g5339	g3083	JG24_g6932	Mal24_g2431
3351	Cre03.g180200	g5338	g3082	JG24_g6933	Mal24_g2432
3352	Cre03.g180250	g5337	g3081	JG24_g6934	Mal24_g2433
3353	Cre03.g180300	g5336	g3080	JG24_g6939	Mal24_g2434
3354	Cre03.g180350		g3079	JG24_g6940	Mal24_g2435
3355	Cre03.g180450	g5335		JG24_g6941	Mal24_g2436
3356	Cre03.g180500				Mal24_g2437
3357	Cre03.g180550	g5333	g3077	JG24_g6943	Mal24_g2438
3358	Cre03.g180600	g5332	g3076	JG24_g6944	Mal24_g2439
3359	Cre03.g180650	g5331	g3075	JG24_g6945	Mal24_g2440
3360	Cre03.g180700	g5330	g3074	JG24_g6946	Mal24_g2441
3361	Cre03.g180750	g5329	g3073	JG24_g6947	Mal24_g2442
3362	Cre03.g180800	g5328	g3072	JG24_g6948	Mal24_g2443
3363	Cre03.g180850	g5327	g3071	JG24_g6950	Mal24_g2444
3364	Cre03.g180900	g5326	g3070	JG24_g6951	Mal24_g2445
3365	Cre03.g181000	g5325	g3069	JG24_g6952	Mal24_g2446
3366	Cre03.g181050	g5324	g3068	JG24_g6953	Mal24_g2447
3367	Cre03.g181100	g5323	g3067	JG24_g6954	Mal24_g2448
3368	Cre03.g181150	g5322	g3066	JG24_g6955	Mal24_g2449
3369	Cre03.g181200	g5321	g3065	JG24_g6956	Mal24_g2450
3370	Cre03.g181250	g5320	g3064	JG24_g6957	Mal24_g2451
3371	Cre03.g181300	g5319	g3063	JG24_g6958	Mal24_g2452
3372	Cre03.g181350	g5318	g3062	JG24_g6959	Mal24_g2453
3373	Cre03.g181400	g5317	g3061	JG24_g6960	Mal24_g2454
3374	Cre03.g181450	g5316	g3060	JG24_g6961	Mal24_g2455
3375	Cre03.g181500	g5315	g3059	JG24_g6962	Mal24_g2456
3376	Cre03.g181550	g12243	g3104	JG24_g10712	Mal24_g16560
3377	Cre03.g181650		g3056	JG24_g6964	Mal24_g2458
3378	Cre03.g181700	g5311	g3055	JG24_g6965	Mal24_g2459
3379	Cre03.g181750		g3054	JG24_g6966	Mal24_g2460
3380	Cre03.g181800	g5309	g3053		
3381	Cre03.g181900	g5308		JG24_g6970	Mal24_g2462
3382	Cre03.g181950	g5307	g3051	JG24_g6971	Mal24_g2463
3383	Cre03.g182000	g5306	g3050	JG24_g6972	Mal24_g2465
3384	Cre03.g182050	g5305	g3049	JG24_g6973	Mal24_g2466
3385	Cre03.g182100	g5304	g3048	JG24_g6974	Mal24_g2467
3386	Cre03.g182150	g5301	g3047	JG24_g6975	Mal24_g2468
3387	Cre03.g182200	g5300	g3046	JG24_g6976	Mal24_g2469
3388	Cre03.g182300	g5299	g3045	JG24_g6977	Mal24_g2470
3389	Cre03.g182350	g5298	g3044	JG24_g6978	Mal24_g2471
3390	Cre03.g182400	g5297	g3043	JG24_g6979	Mal24_g2472
3391	Cre03.g182450	g5296	g3042	JG24_g6980	Mal24_g2473
3392	Cre03.g182500	g5295	g3041	JG24_g6981	Mal24_g2474
3393	Cre03.g182550	g5294	g3040		Mal24_g2475
3394	Cre03.g182551	g5293	g3039	JG24_g6983	Mal24_g2476
3395	Cre03.g182600	g5292	g3038	JG24_g6984	Mal24_g2477
3396	Cre03.g182650	g5291	g3037	JG24_g6986	Mal24_g2478
3397	Cre03.g182700	g5290		JG24_g6987	Mal24_g2479
3398	Cre03.g182750	g5289	g3035	JG24_g6988	Mal24_g2480
3399	Cre03.g182800	g5288	g3034	JG24_g6989	Mal24_g2481
3400	Cre03.g182850	g5287	g3033	JG24_g6990	Mal24_g2482
3401	Cre03.g182900	g5286	g3032	JG24_g6991	Mal24_g2483
3402	Cre03.g182950	g5285		JG24_g6992	Mal24_g2484
3403	Cre03.g183000		g3029	JG24_g6993	Mal24_g2485
3404	Cre03.g183050	g5283	g3028	JG24_g6994	Mal24_g2486
3405	Cre03.g183100	g5282	g3027	JG24_g6995	Mal24_g2487
3406	Cre03.g183150	g5281	g3026	JG24_g6996	Mal24_g2489
3407	Cre03.g183200	g5280	g3025	JG24_g6997	Mal24_g2490
3408	Cre03.g183250	g5279	g3024	JG24_g6998	Mal24_g2491
3409	Cre03.g183300	g5278	g3023	JG24_g6999	Mal24_g2492
3410	Cre03.g183350	g5277	g3022	JG24_g7000	Mal24_g2493
3411	Cre03.g183400	g5276	g3021	JG24_g7001	Mal24_g2494
3412	Cre03.g183451	g5275		JG24_g7002	Mal24_g2495
3413	Cre03.g183500		g3019	JG24_g7003	Mal24_g2496
3414	Cre03.g183550			JG24_g7004	Mal24_g2497
3415	Cre03.g183600	g5272	g3017	JG24_g7005	Mal24_g2498
3416	Cre03.g183650	g5271	g3016	JG24_g7006	Mal24_g2499
3417	Cre03.g183700	g5270	g3015	JG24_g7008	Mal24_g2500
3418	Cre03.g183750	g5269	g3014	JG24_g7009	Mal24_g2501
3419	Cre03.g183800	g5268	g3013	JG24_g7010	Mal24_g2502
3420	Cre03.g183850	g5267	g3012	JG24_g7011	Mal24_g2503
3421	Cre03.g183900	g5266	g3011	JG24_g7012	Mal24_g2504
3422	Cre03.g184000	g5265	g3010	JG24_g7013	Mal24_g2505
3423	Cre03.g184050	g5264	g3009	JG24_g7014	Mal24_g2506
3424	Cre03.g184100	g5263	g3008	JG24_g7015	Mal24_g2507
3425	Cre03.g184151	g5262	g3007		
3426	Cre03.g184200	g5261	g3006	JG24_g7017	Mal24_g2509
3427	Cre03.g184250	g5260	g3005	JG24_g7019	Mal24_g2510
3428	Cre03.g184300	g5259	g3004	JG24_g7020	Mal24_g2512
3429	Cre03.g184350	g5258	g3003	JG24_g7021	Mal24_g2513
3430	Cre03.g184400	g5257	g3002	JG24_g7022	Mal24_g2514
3431	Cre03.g184450	g5256	g3001	JG24_g7023	Mal24_g2515
3432	Cre03.g184500	g5255	g3000	JG24_g7024	Mal24_g2516
3433	Cre03.g184550	g5254	g2999	JG24_g7025	Mal24_g2517
3434	Cre03.g184600	g5253	g2998	JG24_g7026	Mal24_g2519
3435	Cre03.g184651	g5252	g2997	JG24_g7027	Mal24_g2520
3436	Cre03.g184700	g5251	g2996	JG24_g7028	Mal24_g2521
3437	Cre03.g184750	g5250	g2995	JG24_g7029	Mal24_g2522
3438	Cre03.g184800	g5249	g2994	JG24_g7030	Mal24_g2523
3439	Cre03.g184850	g5248	g2993		Mal24_g2524
3440	Cre03.g184900	g5247	g2992	JG24_g7031	Mal24_g2526
3441	Cre03.g184950		g2991	JG24_g7034	Mal24_g2527
3442	Cre03.g185000	g5239	g2990		Mal24_g2528
3443	Cre03.g185050	g5245	g2989	JG24_g7037	Mal24_g2529
3444	Cre03.g185100	g5244	g2988	JG24_g7038	Mal24_g2530
3445	Cre03.g185150	g5243	g2987	JG24_g7039	Mal24_g2531
3446	Cre03.g185200	g5242	g2986	JG24_g7040	Mal24_g2532
3447	Cre03.g185250	g5241	g2985	JG24_g7041	Mal24_g2533
3448	Cre03.g185300	g5240	g2984	JG24_g7042	Mal24_g2534
3449	Cre03.g185350		g2983	JG24_g7043	Mal24_g2535
3450	Cre03.g185400	g5238	g2982	JG24_g7044	Mal24_g2536
3451	Cre03.g185450	g5237	g2981	JG24_g7045	Mal24_g2537
3452	Cre03.g185500	g5236	g2980	JG24_g7046	Mal24_g2538
3453	Cre03.g185550	g5232	g2979	JG24_g7047	Mal24_g2539
3454	Cre03.g185600	g5231	g2978	JG24_g7048	Mal24_g2540
3455	Cre03.g185650	g5230	g2977	JG24_g7049	
3456	Cre03.g185700		g1139		
3457	Cre03.g185750	g5228	g2975	JG24_g7051	Mal24_g2542
3458	Cre03.g185800	g5227	g2974	JG24_g7052	Mal24_g2543
3459	Cre03.g185850	g5226	g2973	JG24_g7053	Mal24_g2544
3460	Cre03.g185900	g5225	g2972	JG24_g7054	Mal24_g2545
3461	Cre03.g185950	g5224	g2971	JG24_g7055	Mal24_g2546
3462	Cre03.g186000	g5223	g2970	JG24_g7056	Mal24_g2547
3463	Cre03.g186050	g5222	g2969	JG24_g7057	Mal24_g2548
3464	Cre03.g186100	g5221	g2968	JG24_g7058	Mal24_g2549
3465	Cre03.g186150	g5220	g2967	JG24_g7059	Mal24_g2550
3466	Cre03.g186200	g5219	g2966	JG24_g7060	Mal24_g2551
3467	Cre03.g186250	g5218	g2965	JG24_g7061	Mal24_g2552
3468	Cre03.g186300	g5217	g2964	JG24_g7062	Mal24_g2553
3469	Cre03.g186350	g5216	g2963	JG24_g7063	Mal24_g2554
3470	Cre03.g186400	g5215	g2962	JG24_g7064	Mal24_g2555
3471	Cre03.g186450	g5214	g2961	JG24_g7065	Mal24_g2556
3472	Cre03.g186500	g5213	g2960	JG24_g7066	Mal24_g2557
3473	Cre03.g186550		g2958	JG24_g7067	Mal24_g2559
3474	Cre03.g186600	g5211	g2957	JG24_g7068	Mal24_g2560
3475	Cre03.g186650	g5210	g2956	JG24_g7069	Mal24_g2561
3476	Cre03.g186700			JG24_g7070	Mal24_g2562
3477	Cre03.g186900	g5203	g2952	JG24_g7075	Mal24_g2564
3478	Cre03.g186950	g5202	g2951	JG24_g7076	
3479	Cre03.g187000	g5201	g2950	JG24_g7077	Mal24_g2566
3480	Cre03.g187050	g5200	g2949	JG24_g7078	Mal24_g2567
3481	Cre03.g187100	g5199	g2948	JG24_g7079	Mal24_g2568
3482	Cre03.g187150	g5198	g2947	JG24_g7080	Mal24_g2569
3483	Cre03.g187200	g5197	g2946	JG24_g7081	Mal24_g2570
3484	Cre03.g187250		g2945	JG24_g7082	Mal24_g2571
3485	Cre03.g187300	g5195	g2944	JG24_g7083	Mal24_g2572
3486	Cre03.g187350	g5194	g2943	JG24_g7085	Mal24_g2573
3487	Cre03.g187400	g5193	g2942	JG24_g7086	Mal24_g2574
3488	Cre03.g187450	g5192	g2941	JG24_g7087	Mal24_g2575
3489	Cre03.g187500	g5191	g2939	JG24_g7089	Mal24_g2576
3490	Cre03.g187550	g5190	g2938	JG24_g7090	Mal24_g2577
3491	Cre03.g187600	g8082		JG24_g19394	Mal24_g7059
3492	Cre03.g187650	g5189	g2936	JG24_g7092	Mal24_g2580
3493	Cre03.g187700		g2935	JG24_g7093	Mal24_g2581
3494	Cre03.g187750	g5183			
3495	Cre03.g187800		g2932		
3496	Cre03.g187850			JG24_g7095	
3497	Cre03.g187950	g5185	g2931	JG24_g7096	Mal24_g2582
3498	Cre03.g188050	g5182			
3499	Cre03.g188100	g5181		JG24_g7101	Mal24_g2594
3500	Cre03.g188200	g5180	g2927	JG24_g7102	Mal24_g2595
3501	Cre03.g188250	g5179	g2926	JG24_g7103	Mal24_g2596
3502	Cre03.g188300	g5178		JG24_g7104	Mal24_g2597
3503	Cre03.g188350	g6448		JG24_g9263	Mal24_g7514
3504	Cre03.g188400	g5177		JG24_g7105	Mal24_g2598
3505	Cre03.g188450	g5175	g2924	JG24_g7106	Mal24_g2599
3506	Cre03.g188500	g5174	g2923		Mal24_g2600
3507	Cre03.g188550	g5173	g2922	JG24_g7108	Mal24_g2601
3508	Cre03.g188600	g5172	g2921		
3509	Cre03.g188650	g5171	g2920	JG24_g7110	Mal24_g2603
3510	Cre03.g188700	g5170	g2919	JG24_g7111	Mal24_g2604
3511	Cre03.g188750	g5169	g2918	JG24_g7112	Mal24_g2605
3512	Cre03.g188800	g5168	g2917	JG24_g7113	Mal24_g2606
3513	Cre03.g188850		g2913		Mal24_g2607
3514	Cre03.g188900	g5167	g2915	JG24_g7114	Mal24_g2608
3515	Cre03.g188950	g5166	g2909	JG24_g7115	Mal24_g2609
3516	Cre03.g189000	g5164	g2908	JG24_g7116	Mal24_g2610
3517	Cre03.g189050	g5163	g2907	JG24_g7117	Mal24_g2611
3518	Cre03.g189100	g5161	g2906	JG24_g7118	Mal24_g2612
3519	Cre03.g189150		g2905		
3520	Cre03.g189200		g2904	JG24_g7121	
3521	Cre03.g189250	g5158	g2903	JG24_g7122	Mal24_g2614
3522	Cre03.g189300	g5157	g2902	JG24_g7123	Mal24_g2615
3523	Cre03.g189350	g5156	g2901	JG24_g7124	
3524	Cre03.g189400	g5155	g2900	JG24_g7125	Mal24_g2617
3525	Cre03.g189450	g5154	g2899	JG24_g7126	Mal24_g2618
3526	Cre03.g189500	g5153	g2898	JG24_g7127	Mal24_g2619
3527	Cre03.g189550	g5152	g2897	JG24_g7128	Mal24_g2620
3528	Cre03.g189600		g2881	JG24_g7130	Mal24_g2621
3529	Cre03.g189605	g5149			Mal24_g2622
3530	Cre03.g189650	g5147	g2884	JG24_g7132	Mal24_g2624
3531	Cre03.g189700	g5146	g2885	JG24_g7137	Mal24_g2625
3532	Cre03.g189750			JG24_g7138	Mal24_g2626
3533	Cre03.g189800	g5145	g2887	JG24_g7139	Mal24_g2627
3534	Cre03.g189850	g5144	g2888	JG24_g7140	Mal24_g2628
3535	Cre03.g189901	g5143		JG24_g7141	Mal24_g2629
3536	Cre03.g189950	g5142	g2890	JG24_g7142	Mal24_g2630
3537	Cre03.g190000	g5141	g2891	JG24_g7143	Mal24_g2631
3538	Cre03.g190050	g5140	g2892	JG24_g7144	Mal24_g2632
3539	Cre03.g190100	g5139	g2893	JG24_g7145	Mal24_g2633
3540	Cre03.g190150	g5138	g2894	JG24_g7146	Mal24_g2634
3541	Cre03.g190200	g5137	g2895	JG24_g7147	Mal24_g2635
3542	Cre03.g190250	g5136	g2880	JG24_g7148	Mal24_g2636
3543	Cre03.g190400	g5621	g10600	JG24_g12159	
3544	Cre03.g190450	g5135	g2879	JG24_g7149	Mal24_g2637
3545	Cre03.g190500	g5134	g2878	JG24_g7150	Mal24_g2638
3546	Cre03.g190550	g5133	g2877	JG24_g7151	Mal24_g2639
3547	Cre03.g190650		g2874	JG24_g7154	Mal24_g2642
3548	Cre03.g190750	g5130	g2872	JG24_g7155	
3549	Cre03.g190800		g2871	JG24_g7156	
3550	Cre03.g190850	g5128	g2870	JG24_g7157	Mal24_g2644
3551	Cre03.g190900	g5127	g2869	JG24_g7158	Mal24_g2645
3552	Cre03.g191050	g5124	g2866	JG24_g7161	Mal24_g2647
3553	Cre03.g191100	g5123	g2865	JG24_g7162	Mal24_g2650
3554	Cre03.g191150	g5122	g2864	JG24_g7163	Mal24_g2651
3555	Cre03.g191200	g5121	g2863	JG24_g7164	Mal24_g2652
3556	Cre03.g191250	g5120	g2862	JG24_g7165	Mal24_g2653
3557	Cre03.g191300			JG24_g7167	Mal24_g2654
3558	Cre03.g191400	g5117	g2857	JG24_g7169	Mal24_g2656
3559	Cre03.g191450	g5114		JG24_g7170	Mal24_g2657
3560	Cre03.g191500	g5113		JG24_g7171	Mal24_g2658
3561	Cre03.g191550		g2855	JG24_g7172	Mal24_g2659
3562	Cre03.g191600	g5111	g2851	JG24_g7176	
3563	Cre03.g191650	g5110			
3564	Cre03.g191700				Mal24_g2664
3565	Cre03.g191750		g2848	JG24_g7178	Mal24_g2665
3566	Cre03.g191800	g5107	g2845	JG24_g7180	Mal24_g2667
3567	Cre03.g191850	g5106	g2844	JG24_g7181	Mal24_g2668
3568	Cre03.g191900	g5105	g2843	JG24_g7182	Mal24_g2669
3569	Cre03.g191950	g5104	g2842	JG24_g7183	Mal24_g2670
3570	Cre03.g192000	g5103	g2841	JG24_g7184	Mal24_g2671
3571	Cre03.g192050	g5102	g2840	JG24_g7185	Mal24_g2672
3572	Cre03.g192100	g5101	g2839	JG24_g7186	Mal24_g2673
3573	Cre03.g192150			JG24_g7187	
3574	Cre03.g192201	g5100			
3575	Cre03.g192250	g5099	g2837	JG24_g10328	Mal24_g2675
3576	Cre03.g192250	g5099	g2837	JG24_g7189	Mal24_g2675
3577	Cre03.g192300		g2832	JG24_g7195	Mal24_g2684
3578	Cre03.g192350	g5095	g2833	JG24_g7194	Mal24_g2683
3579	Cre03.g192400	g5096	g2834	JG24_g7193	Mal24_g2682
3580	Cre03.g192450	g5097		JG24_g7192	Mal24_g2678
3581	Cre03.g192501	g5098	g2836	JG24_g7190	
3582	Cre03.g192550	g5093	g2831	JG24_g7196	Mal24_g2685
3583	Cre03.g192750	g5075		JG24_g7210	
3584	Cre03.g192850	g5091	g277	JG24_g7199	Mal24_g2687
3585	Cre03.g192900	g5090	g278	JG24_g7200	Mal24_g2690
3586	Cre03.g192950		g293		Mal24_g2705
3587	Cre03.g193000	g5087	g280	JG24_g7201	Mal24_g2693
3588	Cre03.g193050	g5086	g281	JG24_g7202	Mal24_g2694
3589	Cre03.g193100	g5085	g282	JG24_g7203	Mal24_g2695
3590	Cre03.g193150	g5084	g283	JG24_g7204	Mal24_g2696
3591	Cre03.g193200	g5083	g284		Mal24_g2697
3592	Cre03.g193250	g5082	g285	JG24_g7206	Mal24_g2698
3593	Cre03.g193300			JG24_g7207	
3594	Cre03.g193350	g5080	g287	JG24_g7208	Mal24_g2700
3595	Cre03.g193400	g5079	g288	JG24_g7209	Mal24_g2701
3596	Cre03.g193450	g5078	g289		Mal24_g2702
3597	Cre03.g193500	g5077	g290	JG24_g7212	Mal24_g2703
3598	Cre03.g193550	g5076	g291	JG24_g7211	Mal24_g2704
3599	Cre03.g193700	g5074	g296	JG24_g7216	Mal24_g2707
3600	Cre03.g193750	g5073	g297	JG24_g7217	Mal24_g2708
3601	Cre03.g193800	g5072	g298	JG24_g7218	Mal24_g2709
3602	Cre03.g193850	g5071	g299	JG24_g7219	Mal24_g2710
3603	Cre03.g193900	g5070	g300	JG24_g7220	Mal24_g2711
3604	Cre03.g193950	g5069	g301	JG24_g7222	Mal24_g2713
3605	Cre03.g194000	g5068	g302	JG24_g7223	Mal24_g2714
3606	Cre03.g194050		g303	JG24_g7224	
3607	Cre03.g194100	g5066	g304	JG24_g7225	Mal24_g2715
3608	Cre03.g194150	g5065	g305	JG24_g7227	Mal24_g2716
3609	Cre03.g194200	g5064	g306	JG24_g7228	Mal24_g2717
3610	Cre03.g194250	g5063	g307	JG24_g7229	Mal24_g2718
3611	Cre03.g194300	g5062	g308	JG24_g7230	Mal24_g2719
3612	Cre03.g194350	g5061	g309	JG24_g7231	Mal24_g2720
3613	Cre03.g194400	g5060	g310	JG24_g7232	Mal24_g2721
3614	Cre03.g194450	g5059	g311	JG24_g7233	Mal24_g2722
3615	Cre03.g194600	g5058		JG24_g7238	
3616	Cre03.g194650	g5057	g340	JG24_g7265	Mal24_g2753
3617	Cre03.g194700	g5056	g339	JG24_g7264	Mal24_g2752
3618	Cre03.g194750		g338	JG24_g7263	Mal24_g2751
3619	Cre03.g194800	g5053	g336	JG24_g7262	Mal24_g2749
3620	Cre03.g194850	g5052	g335	JG24_g7261	Mal24_g2748
3621	Cre03.g194900	g5049	g334	JG24_g19311	Mal24_g2747
3622	Cre03.g194900	g5049	g334	JG24_g7260	Mal24_g2747
3623	Cre03.g194950	g5048	g333	JG24_g7259	Mal24_g2746
3624	Cre03.g195000	g5047	g332	JG24_g7258	Mal24_g2745
3625	Cre03.g195050	g5046	g331	JG24_g7257	Mal24_g2744
3626	Cre03.g195150	g5044	g330	JG24_g7256	Mal24_g2743
3627	Cre03.g195150	g5045	g330	JG24_g7256	Mal24_g2743
3628	Cre03.g195200	g5043	g329	JG24_g7255	Mal24_g2742
3629	Cre03.g195250	g5042	g328	JG24_g7253	Mal24_g2741
3630	Cre03.g195300	g5041	g327	JG24_g7252	Mal24_g2740
3631	Cre03.g195350			JG24_g7251	
3632	Cre03.g195366			JG24_g7250	Mal24_g2737
3633	Cre03.g195388	g5038	g325	JG24_g16161	
3634	Cre03.g195410	g5037	g324	JG24_g11282	Mal24_g2735
3635	Cre03.g195410	g5037	g324	JG24_g7248	Mal24_g2735
3636	Cre03.g195450	g5036	g323	JG24_g7247	Mal24_g2734
3637	Cre03.g195500	g5035	g322		Mal24_g2733
3638	Cre03.g195550			JG24_g5361	
3639	Cre03.g195600				Mal24_g2731
3640	Cre03.g195650	g5033	g320	JG24_g7244	Mal24_g2730
3641	Cre03.g195700	g5032	g319	JG24_g7243	Mal24_g2729
3642	Cre03.g195750	g5031	g318	JG24_g7242	Mal24_g2728
3643	Cre03.g195850	g5029	g316	JG24_g7240	Mal24_g2726
3644	Cre03.g195900	g5028	g315	JG24_g7239	Mal24_g2725
3645	Cre03.g195950		g314	JG24_g7270	Mal24_g2724
3646	Cre03.g195950		g314	JG24_g7273	Mal24_g2724
3647	Cre03.g196000	g5024	g341	JG24_g7274	Mal24_g2756
3648	Cre03.g196050	g5023	g342	JG24_g7275	Mal24_g2757
3649	Cre03.g196100	g5022	g343	JG24_g7276	Mal24_g2758
3650	Cre03.g196150	g5021	g344	JG24_g7277	
3651	Cre03.g196200		g345	JG24_g7278	
3652	Cre03.g196250			JG24_g7279	Mal24_g2760
3653	Cre03.g196300		g347	JG24_g7280	Mal24_g2761
3654	Cre03.g196350	g5018	g349	JG24_g7282	
3655	Cre03.g196400	g5017	g350	JG24_g7283	Mal24_g2765
3656	Cre03.g196450	g5016	g351	JG24_g7284	Mal24_g2766
3657	Cre03.g196500	g5015	g352	JG24_g7285	Mal24_g2767
3658	Cre03.g196550	g5014	g353		Mal24_g2768
3659	Cre03.g196600	g5013	g354	JG24_g7286	Mal24_g2769
3660	Cre03.g196651	g5012	g355	JG24_g7287	Mal24_g2770
3661	Cre03.g196750	g5011			
3662	Cre03.g196800			JG24_g7290	Mal24_g2772
3663	Cre03.g196850	g5010	g357	JG24_g7291	Mal24_g2773
3664	Cre03.g196900	g5009	g358	JG24_g7292	Mal24_g2774
3665	Cre03.g196950	g5008	g359	JG24_g7293	Mal24_g2775
3666	Cre03.g197000	g5007	g360	JG24_g7294	Mal24_g2776
3667	Cre03.g197050	g5006	g361	JG24_g7295	Mal24_g2780
3668	Cre03.g197100	g5005	g362	JG24_g7296	Mal24_g2781
3669	Cre03.g197150	g5004	g363	JG24_g7297	
3670	Cre03.g197200		g364	JG24_g7298	
3671	Cre03.g197250	g5002	g365	JG24_g7299	Mal24_g2783
3672	Cre03.g197300	g5001	g366	JG24_g7300	Mal24_g2784
3673	Cre03.g197350	g5000	g367	JG24_g7301	Mal24_g2785
3674	Cre03.g197400	g4999	g368	JG24_g7302	Mal24_g2786
3675	Cre03.g197450			JG24_g7303	
3676	Cre03.g197500	g4997	g370	JG24_g7304	Mal24_g2789
3677	Cre03.g197513			JG24_g7305	Mal24_g2558
3678	Cre03.g197550		g371	JG24_g7306	Mal24_g2790
3679	Cre03.g197600	g4995	g372	JG24_g7307	Mal24_g2791
3680	Cre03.g197650	g4994	g373	JG24_g7308	Mal24_g2792
3681	Cre03.g197700	g4993	g374	JG24_g7309	Mal24_g2793
3682	Cre03.g197750	g4992	g375	JG24_g7310	Mal24_g2795
3683	Cre03.g197800	g4991	g376	JG24_g7312	Mal24_g2796
3684	Cre03.g197850	g4990	g377	JG24_g7313	Mal24_g2797
3685	Cre03.g197900	g4989	g378	JG24_g7314	Mal24_g2798
3686	Cre03.g197950				Mal24_g7147
3687	Cre03.g198000	g4988	g379	JG24_g7315	Mal24_g2799
3688	Cre03.g198050		g380	JG24_g7316	Mal24_g2800
3689	Cre03.g198100	g4984	g382	JG24_g7317	Mal24_g2801
3690	Cre03.g198150	g4983		JG24_g7318	Mal24_g2802
3691	Cre03.g198200	g4982		JG24_g7319	Mal24_g2804
3692	Cre03.g198750		g8862	JG24_g1326	Mal24_g2876
3693	Cre03.g198800		g8863	JG24_g1327	Mal24_g2877
3694	Cre03.g198850	g2643	g8864	JG24_g1328	Mal24_g2878
3695	Cre03.g198950	g2647	g8867	JG24_g1333	Mal24_g2882
3696	Cre03.g199000	g2648	g8868	JG24_g1334	Mal24_g2883
3697	Cre03.g199050	g2649	g8869	JG24_g1335	Mal24_g2884
3698	Cre03.g199087			JG24_g16485	
3699	Cre03.g199090	g2650	g8870	JG24_g1336	Mal24_g2885
